Date,tank,aquarium,tank_aq,Aquarium.Temp.C
6/17/2017,T1,A1,T1_A1,6.7
6/17/2017,T1,A1,T1_A1,6.7
6/17/2017,T1,A1,T1_A1,6.7
6/17/2017,T1,A1,T1_A1,6.7
6/17/2017,T1,A1,T1_A1,6.7
6/17/2017,T1,A1,T1_A1,6.7
6/17/2017,T1,A1,T1_A1,6.7
6/20/2017,T1,A1,T1_A1,7.2
6/20/2017,T1,A1,T1_A1,7.2
6/20/2017,T1,A1,T1_A1,7.2
6/20/2017,T1,A1,T1_A1,7.2
6/21/2017,T1,A1,T1_A1,6.7
6/21/2017,T1,A1,T1_A1,6.7
6/21/2017,T1,A1,T1_A1,6.7
6/21/2017,T1,A1,T1_A1,6.7
6/21/2017,T1,A1,T1_A1,6.7
6/21/2017,T1,A1,T1_A1,6.7
6/21/2017,T1,A1,T1_A1,6.7
6/22/2017,T1,A1,T1_A1,6.7
6/22/2017,T1,A1,T1_A1,6.7
6/22/2017,T1,A1,T1_A1,6.7
6/22/2017,T1,A1,T1_A1,6.7
6/22/2017,T1,A1,T1_A1,6.7
6/22/2017,T1,A1,T1_A1,6.7
6/22/2017,T1,A1,T1_A1,6.7
6/23/2017,T1,A1,T1_A1,8.5
6/23/2017,T1,A1,T1_A1,8.5
6/23/2017,T1,A1,T1_A1,8.5
6/23/2017,T1,A1,T1_A1,8.5
6/23/2017,T1,A1,T1_A1,8.5
6/23/2017,T1,A1,T1_A1,8.5
6/23/2017,T1,A1,T1_A1,8.5
6/25/2017,T1,A1,T1_A1,8.2
6/25/2017,T1,A1,T1_A1,8.2
6/25/2017,T1,A1,T1_A1,8.2
6/25/2017,T1,A1,T1_A1,8.2
6/25/2017,T1,A1,T1_A1,8.2
6/25/2017,T1,A1,T1_A1,8.2
6/25/2017,T1,A1,T1_A1,8.2
6/26/2017,T1,A1,T1_A1,8.3
6/26/2017,T1,A1,T1_A1,8.3
6/26/2017,T1,A1,T1_A1,8.3
6/26/2017,T1,A1,T1_A1,8.3
6/26/2017,T1,A1,T1_A1,8.3
6/26/2017,T1,A1,T1_A1,8.3
6/26/2017,T1,A1,T1_A1,8.3
6/27/2017,T1,A1,T1_A1,8.4
6/27/2017,T1,A1,T1_A1,8.4
6/27/2017,T1,A1,T1_A1,8.4
6/27/2017,T1,A1,T1_A1,8.4
6/27/2017,T1,A1,T1_A1,8.4
6/27/2017,T1,A1,T1_A1,8.4
6/27/2017,T1,A1,T1_A1,8.4
6/28/2017,T1,A1,T1_A1,8.5
6/28/2017,T1,A1,T1_A1,8.5
6/28/2017,T1,A1,T1_A1,8.5
6/28/2017,T1,A1,T1_A1,8.5
6/28/2017,T1,A1,T1_A1,8.5
6/28/2017,T1,A1,T1_A1,8.5
6/28/2017,T1,A1,T1_A1,8.5
6/29/2017,T1,A1,T1_A1,8.7
6/29/2017,T1,A1,T1_A1,8.7
6/29/2017,T1,A1,T1_A1,8.7
6/29/2017,T1,A1,T1_A1,8.7
6/29/2017,T1,A1,T1_A1,8.7
6/29/2017,T1,A1,T1_A1,8.7
6/29/2017,T1,A1,T1_A1,8.7
6/30/2017,T1,A1,T1_A1,8.1
6/30/2017,T1,A1,T1_A1,8.1
6/30/2017,T1,A1,T1_A1,8.1
6/30/2017,T1,A1,T1_A1,8.1
6/30/2017,T1,A1,T1_A1,8.1
6/30/2017,T1,A1,T1_A1,8.1
6/30/2017,T1,A1,T1_A1,8.1
7/1/2017,T1,A1,T1_A1,8.7
7/1/2017,T1,A1,T1_A1,8.7
7/1/2017,T1,A1,T1_A1,8.7
7/1/2017,T1,A1,T1_A1,8.7
7/1/2017,T1,A1,T1_A1,8.7
7/1/2017,T1,A1,T1_A1,8.7
7/2/2017,T1,A1,T1_A1,8.5
7/2/2017,T1,A1,T1_A1,8.5
7/2/2017,T1,A1,T1_A1,8.5
7/2/2017,T1,A1,T1_A1,8.5
7/2/2017,T1,A1,T1_A1,8.5
7/2/2017,T1,A1,T1_A1,8.5
7/3/2017,T1,A1,T1_A1,8.9
7/3/2017,T1,A1,T1_A1,8.9
7/3/2017,T1,A1,T1_A1,8.9
7/3/2017,T1,A1,T1_A1,8.9
7/3/2017,T1,A1,T1_A1,8.9
7/3/2017,T1,A1,T1_A1,8.9
7/4/2017,T1,A1,T1_A1,8.9
7/4/2017,T1,A1,T1_A1,8.9
7/4/2017,T1,A1,T1_A1,8.9
7/4/2017,T1,A1,T1_A1,8.9
7/4/2017,T1,A1,T1_A1,8.9
7/4/2017,T1,A1,T1_A1,8.9
7/5/2017,T1,A1,T1_A1,9.5
7/5/2017,T1,A1,T1_A1,9.5
7/5/2017,T1,A1,T1_A1,9.5
7/5/2017,T1,A1,T1_A1,9.5
7/5/2017,T1,A1,T1_A1,9.5
7/5/2017,T1,A1,T1_A1,9.5
7/5/2017,T1,A1,T1_A1,9.5
7/6/2017,T1,A1,T1_A1,9.9
7/6/2017,T1,A1,T1_A1,9.9
7/6/2017,T1,A1,T1_A1,9.9
7/6/2017,T1,A1,T1_A1,9.9
7/6/2017,T1,A1,T1_A1,9.9
7/6/2017,T1,A1,T1_A1,9.9
7/6/2017,T1,A1,T1_A1,9.9
7/7/2017,T1,A1,T1_A1,11.3
7/7/2017,T1,A1,T1_A1,11.3
7/7/2017,T1,A1,T1_A1,11.3
7/7/2017,T1,A1,T1_A1,11.3
7/7/2017,T1,A1,T1_A1,11.3
7/7/2017,T1,A1,T1_A1,11.3
7/7/2017,T1,A1,T1_A1,11.3
7/7/2017,T1,A1,T1_A1,11.3
6/17/2017,T1,A2,T1_A2,6.7
6/17/2017,T1,A2,T1_A2,6.7
6/17/2017,T1,A2,T1_A2,6.7
6/17/2017,T1,A2,T1_A2,6.7
6/17/2017,T1,A2,T1_A2,6.7
6/17/2017,T1,A2,T1_A2,6.7
6/20/2017,T1,A2,T1_A2,7.2
6/20/2017,T1,A2,T1_A2,7.2
6/20/2017,T1,A2,T1_A2,7.2
6/20/2017,T1,A2,T1_A2,7.2
6/21/2017,T1,A2,T1_A2,6.7
6/21/2017,T1,A2,T1_A2,6.7
6/21/2017,T1,A2,T1_A2,6.7
