date,fertilization_date,alt.fert.date,calc_days_post_fert,alt.dpf,location,days.post.fert,Treatment,family,Dam,sire,animal,indiv.1to15,ImageJ_num,Length.mm,yolk.sac.length,yolk.sac.height,yolk.sac.volume,disposition,reared.wild,measure.type,file.name,original name (from Dropbox),measured.by,duplicate.to.remove,live-eth.test,initial.postfert,yolk.vol,growth,ln.at.hatch,ln.at.swimup,respiration,eyed,experiment,adj_Length,Comments,Comments2,Duplicate,Repeat Data,Repeat Data2,Repeat Data3,decision,data.source,ethanol.vs.chambers,live.vs.chamber
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K1,K001,k003,na_K001_1,1,1,,3.696,2.983,17.22014186,ethanol,reared,ImageJ,CG_0_na_K1.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K1,K001,k003,na_K001_2,2,2,,3.387,2.728,13.19781949,ethanol,reared,ImageJ,CG_0_na_K1.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K1,K001,k003,na_K001_3,3,3,,3.679,2.564,12.66380122,ethanol,reared,ImageJ,CG_0_na_K1.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K1,K001,k003,na_K001_4,4,4,,2.933,2.705,11.23685708,ethanol,reared,ImageJ,CG_0_na_K1.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K1,K001,k003,na_K001_5,5,5,,3.113,2.655,11.48964015,ethanol,reared,ImageJ,CG_0_na_K1.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K1,K001,k003,na_K001_6,6,6,,3.016,2.287,8.259655273,ethanol,reared,ImageJ,CG_0_na_K1.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K10,K014,k015,na_K014_1,1,1,,3.075,2.953,14.04010221,ethanol,reared,ImageJ,CG_0_na_K10.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K10,K014,k015,na_K014_2,2,2,,3.217,2.673,12.03503157,ethanol,reared,ImageJ,CG_0_na_K10.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K10,K014,k015,na_K014_3,3,3,,2.863,2.71,11.00926144,ethanol,reared,ImageJ,CG_0_na_K10.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K10,K014,k015,na_K014_4,4,4,,3.505,3.096,17.59090494,ethanol,reared,ImageJ,CG_0_na_K10.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K10,K014,k015,na_K014_5,5,5,,2.906,2.318,8.175620589,ethanol,reared,ImageJ,CG_0_na_K10.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K10,K014,k015,na_K014_6,6,6,,3.409,2.707,13.07982002,ethanol,reared,ImageJ,CG_0_na_K10.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K10,K014,k015,na_K014_7,7,7,,3.746,2.858,16.02103161,ethanol,reared,ImageJ,CG_0_na_K10.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K10,K014,k015,na_K014_8,8,8,,3.284,3.006,15.53743613,ethanol,reared,ImageJ,CG_0_na_K10.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K11,K016,k018,na_K016_1,1,1,,3.53,2.975,16.35862892,ethanol,reared,ImageJ,CG_0_na_K11.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K11,K016,k018,na_K016_2,2,2,,3.228,2.972,14.92895441,ethanol,reared,ImageJ,CG_0_na_K11.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K11,K016,k018,na_K016_3,3,3,,2.995,2.792,12.22435378,ethanol,reared,ImageJ,CG_0_na_K11.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K11,K016,k018,na_K016_4,4,4,,3.317,3.207,17.86247553,ethanol,reared,ImageJ,CG_0_na_K11.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K11,K016,k018,na_K016_5,5,5,,3.129,2.728,12.192494,ethanol,reared,ImageJ,CG_0_na_K11.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K11,K016,k018,na_K016_6,6,6,,3.157,2.396,9.489568494,ethanol,reared,ImageJ,CG_0_na_K11.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K11,K016,k018,na_K016_7,7,7,,3.726,3.29,21.11703316,ethanol,reared,ImageJ,CG_0_na_K11.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K11,K016,k018,na_K016_8,8,8,,3.517,2.632,12.756819,ethanol,reared,ImageJ,CG_0_na_K11.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K12,K017,k018,na_K017_1,1,1,,3.684,2.37,10.83464208,ethanol,reared,ImageJ,CG_0_na_K12.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K12,K017,k018,na_K017_2,2,2,,3.668,2.954,16.75901788,ethanol,reared,ImageJ,CG_0_na_K12.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K12,K017,k018,na_K017_3,3,3,,3.466,3.021,16.5625905,ethanol,reared,ImageJ,CG_0_na_K12.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K12,K017,k018,na_K017_4,4,4,,2.961,2.189,7.42896284,ethanol,reared,ImageJ,CG_0_na_K12.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
6/13/17,6/13/17,6/13/17,0,0,Kup,0,na,K12,K017,k018,na_K017_5,5,5,,3.31,3.048,16.10112326,ethanol,reared,ImageJ,CG_0_na_K12.jpg,,A. Kocher 2019,,,yes,yes,no,no,no,no,,yolksac,,,,,,,,,ethanol,,
