Run 1: Time (min),Run 1: Dissolved Oxygen (mg/L),Run 1: Dissolved Oxygen 2 (mg/L),Run 1: Dissolved Oxygen 3 (mg/L)
0,7.53582657,7.606694457,7.540234621
0.016666667,7.541251863,7.612458831,7.545659914
0.033333333,7.552441529,7.612458831,7.545659914
0.05,7.552441529,7.623309416,7.540234621
0.066666667,7.552441529,7.617884123,7.545659914
0.083333333,7.541251863,7.617884123,7.551085206
0.1,7.546677156,7.612458831,7.55684958
0.116666667,7.53582657,7.606694457,7.551085206
0.133333333,7.530062197,7.606694457,7.551085206
0.15,7.524636904,7.612458831,7.55684958
0.166666667,7.524636904,7.623309416,7.551085206
0.183333333,7.513447238,7.628734709,7.551085206
0.2,7.513447238,7.639924375,7.551085206
0.216666667,7.508021945,7.639924375,7.551085206
0.233333333,7.508021945,7.645349668,7.551085206
0.25,7.508021945,7.645349668,7.551085206
0.266666667,7.508021945,7.645349668,7.55684958
0.283333333,7.513447238,7.656539334,7.545659914
0.3,7.513447238,7.651114042,7.545659914
0.316666667,7.513447238,7.651114042,7.545659914
0.333333333,7.519211611,7.645349668,7.545659914
0.35,7.519211611,7.639924375,7.545659914
0.366666667,7.524636904,7.628734709,7.545659914
0.383333333,7.519211611,7.623309416,7.545659914
0.4,7.513447238,7.623309416,7.545659914
0.416666667,7.513447238,7.612458831,7.545659914
0.433333333,7.508021945,7.612458831,7.534470247
0.45,7.508021945,7.612458831,7.540234621
0.466666667,7.513447238,7.612458831,7.534470247
0.483333333,7.508021945,7.612458831,7.534470247
0.5,7.513447238,7.612458831,7.534470247
0.516666667,7.508021945,7.617884123,7.534470247
0.533333333,7.513447238,7.617884123,7.534470247
0.55,7.513447238,7.617884123,7.540234621
0.566666667,7.513447238,7.623309416,7.545659914
0.583333333,7.519211611,7.623309416,7.545659914
0.6,7.524636904,7.617884123,7.540234621
0.616666667,7.513447238,7.617884123,7.545659914
0.633333333,7.513447238,7.623309416,7.545659914
0.65,7.519211611,7.623309416,7.545659914
0.666666667,7.519211611,7.623309416,7.545659914
0.683333333,7.530062197,7.617884123,7.545659914
0.7,7.53582657,7.623309416,7.545659914
0.716666667,7.530062197,7.612458831,7.545659914
0.733333333,7.53582657,7.612458831,7.545659914
0.75,7.53582657,7.612458831,7.545659914
0.766666667,7.53582657,7.612458831,7.545659914
0.783333333,7.541251863,7.623309416,7.545659914
0.8,7.53582657,7.617884123,7.545659914
0.816666667,7.53582657,7.617884123,7.545659914
0.833333333,7.546677156,7.623309416,7.534470247
0.85,7.546677156,7.617884123,7.540234621
0.866666667,7.552441529,7.623309416,7.529044954
0.883333333,7.552441529,7.612458831,7.534470247
0.9,7.552441529,7.617884123,7.529044954
0.916666667,7.552441529,7.612458831,7.529044954
0.933333333,7.546677156,7.606694457,7.523619662
0.95,7.541251863,7.606694457,7.529044954
0.966666667,7.546677156,7.601269164,7.529044954
0.983333333,7.541251863,7.601269164,7.529044954
1,7.546677156,7.601269164,7.529044954
1.016666667,7.546677156,7.606694457,7.534470247
1.033333333,7.552441529,7.601269164,7.534470247
1.05,7.541251863,7.601269164,7.545659914
1.066666667,7.546677156,7.601269164,7.545659914
1.083333333,7.53582657,7.601269164,7.545659914
1.1,7.541251863,7.601269164,7.551085206
1.116666667,7.541251863,7.612458831,7.551085206
1.133333333,7.53582657,7.606694457,7.55684958
1.15,7.53582657,7.606694457,7.55684958
1.166666667,7.53582657,7.612458831,7.562274873
1.183333333,7.530062197,7.612458831,7.551085206
1.2,7.530062197,7.606694457,7.551085206
1.216666667,7.524636904,7.606694457,7.55684958
1.233333333,7.519211611,7.612458831,7.551085206
1.25,7.513447238,7.617884123,7.545659914
1.266666667,7.508021945,7.617884123,7.545659914
1.283333333,7.508021945,7.623309416,7.534470247
1.3,7.508021945,7.628734709,7.540234621
1.316666667,7.508021945,7.628734709,7.534470247
1.333333333,7.508021945,7.634499083,7.529044954
1.35,7.513447238,7.628734709,7.529044954
1.366666667,7.513447238,7.623309416,7.523619662
1.383333333,7.513447238,7.623309416,7.523619662
1.4,7.513447238,7.623309416,7.529044954
1.416666667,7.519211611,7.623309416,7.529044954
1.433333333,7.513447238,7.623309416,7.529044954
1.45,7.513447238,7.623309416,7.523619662
1.466666667,7.519211611,7.623309416,7.523619662
1.483333333,7.524636904,7.623309416,7.523619662
1.5,7.530062197,7.617884123,7.523619662
1.516666667,7.524636904,7.623309416,7.517855288
1.533333333,7.524636904,7.612458831,7.517855288
1.55,7.524636904,7.617884123,7.512429995
1.566666667,7.530062197,7.606694457,7.523619662
1.583333333,7.530062197,7.606694457,7.523619662
1.6,7.530062197,7.606694457,7.523619662
1.616666667,7.53582657,7.612458831,7.523619662
1.633333333,7.53582657,7.606694457,7.523619662
1.65,7.530062197,7.601269164,7.523619662
1.666666667,7.524636904,7.601269164,7.523619662
1.683333333,7.519211611,7.601269164,7.529044954
1.7,7.513447238,7.595843872,7.529044954
1.716666667,7.513447238,7.595843872,7.529044954
1.733333333,7.513447238,7.584654205,7.534470247
1.75,7.519211611,7.584654205,7.529044954
1.766666667,7.519211611,7.584654205,7.534470247
1.783333333,7.524636904,7.584654205,7.529044954
1.8,7.530062197,7.584654205,7.529044954
1.816666667,7.524636904,7.590079498,7.545659914
1.833333333,7.524636904,7.590079498,7.545659914
1.85,7.524636904,7.584654205,7.545659914
1.866666667,7.53582657,7.595843872,7.545659914
1.883333333,7.530062197,7.601269164,7.545659914
1.9,7.530062197,7.601269164,7.534470247
1.916666667,7.53582657,7.601269164,7.529044954
1.933333333,7.53582657,7.595843872,7.534470247
1.95,7.53582657,7.601269164,7.534470247
1.966666667,7.53582657,7.601269164,7.534470247
1.983333333,7.530062197,7.595843872,7.540234621
2,7.530062197,7.595843872,7.534470247
2.016666667,7.524636904,7.584654205,7.540234621
2.033333333,7.524636904,7.584654205,7.534470247
2.05,7.524636904,7.584654205,7.534470247
2.066666667,7.524636904,7.584654205,7.540234621
2.083333333,7.524636904,7.584654205,7.534470247
2.1,7.519211611,7.584654205,7.529044954
2.116666667,7.524636904,7.590079498,7.534470247
2.133333333,7.524636904,7.590079498,7.529044954
2.15,7.524636904,7.590079498,7.529044954
2.166666667,7.530062197,7.595843872,7.529044954
2.183333333,7.530062197,7.595843872,7.529044954
2.2,7.53582657,7.595843872,7.523619662
2.216666667,7.530062197,7.590079498,7.523619662
2.233333333,7.530062197,7.584654205,7.523619662
2.25,7.530062197,7.584654205,7.523619662
2.266666667,7.53582657,7.584654205,7.529044954
2.283333333,7.53582657,7.590079498,7.529044954
2.3,7.541251863,7.595843872,7.529044954
2.316666667,7.541251863,7.601269164,7.529044954
2.333333333,7.541251863,7.601269164,7.529044954
2.35,7.53582657,7.601269164,7.529044954
2.366666667,7.53582657,7.601269164,7.534470247
2.383333333,7.530062197,7.601269164,7.529044954
2.4,7.530062197,7.595843872,7.529044954
2.416666667,7.530062197,7.584654205,7.540234621
2.433333333,7.53582657,7.584654205,7.534470247
2.45,7.53582657,7.584654205,7.540234621
2.466666667,7.53582657,7.595843872,7.534470247
2.483333333,7.53582657,7.590079498,7.529044954
2.5,7.530062197,7.595843872,7.529044954
2.516666667,7.530062197,7.601269164,7.534470247
2.533333333,7.530062197,7.601269164,7.529044954
2.55,7.524636904,7.601269164,7.529044954
2.566666667,7.530062197,7.590079498,7.529044954
2.583333333,7.524636904,7.590079498,7.529044954
2.6,7.524636904,7.590079498,7.529044954
2.616666667,7.524636904,7.595843872,7.523619662
2.633333333,7.524636904,7.595843872,7.523619662
2.65,7.524636904,7.595843872,7.523619662
2.666666667,7.524636904,7.601269164,7.517855288
2.683333333,7.524636904,7.595843872,7.517855288
2.7,7.530062197,7.595843872,7.507004703
2.716666667,7.541251863,7.595843872,7.512429995
2.733333333,7.53582657,7.601269164,7.507004703
2.75,7.53582657,7.601269164,7.507004703
2.766666667,7.530062197,7.601269164,7.517855288
2.783333333,7.530062197,7.601269164,7.517855288
2.8,7.524636904,7.595843872,7.512429995
2.816666667,7.524636904,7.595843872,7.512429995
2.833333333,7.524636904,7.590079498,7.507004703
2.85,7.524636904,7.595843872,7.507004703
2.866666667,7.524636904,7.590079498,7.517855288
2.883333333,7.530062197,7.590079498,7.517855288
2.9,7.519211611,7.584654205,7.523619662
2.916666667,7.513447238,7.584654205,7.523619662
2.933333333,7.508021945,7.584654205,7.529044954
2.95,7.508021945,7.584654205,7.523619662
2.966666667,7.502596652,7.579228912,7.529044954
2.983333333,7.491406986,7.584654205,7.534470247
3,7.491406986,7.584654205,7.534470247
3.016666667,7.496832279,7.584654205,7.545659914
3.033333333,7.502596652,7.590079498,7.545659914
3.05,7.502596652,7.590079498,7.545659914
3.066666667,7.508021945,7.590079498,7.534470247
3.083333333,7.508021945,7.601269164,7.529044954
3.1,7.513447238,7.595843872,7.529044954
3.116666667,7.508021945,7.595843872,7.529044954
3.133333333,7.519211611,7.595843872,7.523619662
3.15,7.524636904,7.595843872,7.517855288
3.166666667,7.530062197,7.584654205,7.507004703
3.183333333,7.530062197,7.584654205,7.507004703
3.2,7.530062197,7.584654205,7.507004703
3.216666667,7.530062197,7.579228912,7.507004703
3.233333333,7.53582657,7.579228912,7.50157941
3.25,7.53582657,7.579228912,7.50157941
3.266666667,7.530062197,7.568039246,7.50157941
3.283333333,7.530062197,7.568039246,7.50157941
3.3,7.53582657,7.568039246,7.50157941
3.316666667,7.53582657,7.562613953,7.507004703
3.333333333,7.530062197,7.562613953,7.507004703
3.35,7.524636904,7.562613953,7.507004703
3.366666667,7.524636904,7.562613953,7.507004703
3.383333333,7.524636904,7.562613953,7.50157941
3.4,7.524636904,7.562613953,7.507004703
