Vernier Format 2
untitled.txt 7/4/2017 13:39:19
Run 1
Time	Dissolved Oxygen	
T	D	
min	mg/L	

0	9.89	
1	9.88	
2	9.87	
3	9.91	
4	9.88	
5	9.86	
6	9.82	
7	9.81	
8	9.81	
9	9.74	
10	9.78	
11	9.78	
12	9.74	
13	9.77	
14	9.72	
15	9.72	
16	9.74	
17	9.75	
18	9.77	
19	9.73	
20	9.77	
21	9.74	
22	9.72	
23	9.67	
24	9.76	
25	9.72	
26	9.67	
27	9.72	
28	9.69	
29	9.70	
30	9.74	
31	9.72	
32	9.70	
33	9.70	
34	9.71	
35	9.65	
36	9.68	
37	9.67	
38	9.70	
39	9.66	
40	9.69	
41	9.70	
42	9.74	
43	9.66	
44	9.66	
45	9.70	
46	9.62	
47	9.67	
48	9.66	
49	9.64	
50	9.62	
51	9.69	
52	9.63	
53	9.66	
54	9.61	
55	9.66	
56	9.67	
57	9.64	
58	9.66	
59	9.60	
60	9.63	
61	9.61	
62	9.65	
63	9.64	
64	9.62	
65	9.63	
66	9.60	
67	9.62	
68	9.61	
69	9.65	
70	9.62	
71	9.64	
72	9.59	
73	9.61	
		
Vernier Format 2
untitled.txt 7/4/2017 13:39:19
Run 2
Time	Dissolved Oxygen	
T	D	
min	mg/L	

		
