"","family","repli","dam","sire","tray","cell","length","egg_size"
"1","f1","r1","d1","s1","t7","1A",22.7,7.27
"2","f1","r2","d1","s1","t8","1A",22,7.27
"3","f1","r1","d1","s1","t7","1A",23.8,7.27
"4","f1","r2","d1","s1","t8","1A",21.8,7.27
"5","f1","r1","d1","s1","t7","1A",22.6,7.27
"6","f1","r2","d1","s1","t8","1A",22.4,7.27
"7","f1","r1","d1","s1","t7","1A",22.9,7.27
"8","f1","r2","d1","s1","t8","1A",22.3,7.27
"9","f1","r1","d1","s1","t7","1A",23.1,7.27
"10","f1","r2","d1","s1","t8","1A",22.1,7.27
"11","f2","r1","d1","s2","t7","1B",23.5,7.27
"12","f2","r2","d1","s2","t8","1B",23.1,7.27
"13","f2","r1","d1","s2","t7","1B",23,7.27
"14","f2","r2","d1","s2","t8","1B",22.1,7.27
"15","f2","r1","d1","s2","t7","1B",22.4,7.27
"16","f2","r2","d1","s2","t8","1B",21.9,7.27
"17","f2","r1","d1","s2","t7","1B",22.9,7.27
"18","f2","r2","d1","s2","t8","1B",24.3,7.27
"19","f2","r1","d1","s2","t7","1B",23.1,7.27
"20","f2","r2","d1","s2","t8","1B",22.8,7.27
"21","f3","r1","d1","s3","t7","1C",23.8,7.27
"22","f3","r2","d1","s3","t8","1C",23.4,7.27
"23","f3","r1","d1","s3","t7","1C",22.2,7.27
"24","f3","r2","d1","s3","t8","1C",22.2,7.27
"25","f3","r1","d1","s3","t7","1C",23,7.27
"26","f3","r2","d1","s3","t8","1C",22.9,7.27
"27","f3","r1","d1","s3","t7","1C",23.5,7.27
"28","f3","r2","d1","s3","t8","1C",24.1,7.27
"29","f3","r1","d1","s3","t7","1C",22.8,7.27
"30","f3","r2","d1","s3","t8","1C",23.5,7.27
"31","f4","r1","d1","s4","t7","1D",23.3,7.27
"32","f4","r2","d1","s4","t8","1D",22.6,7.27
"33","f4","r1","d1","s4","t7","1D",22.9,7.27
"34","f4","r2","d1","s4","t8","1D",22.1,7.27
"35","f4","r1","d1","s4","t7","1D",23,7.27
"36","f4","r2","d1","s4","t8","1D",23.2,7.27
"37","f4","r1","d1","s4","t7","1D",23.2,7.27
"38","f4","r2","d1","s4","t8","1D",23.8,7.27
"39","f4","r1","d1","s4","t7","1D",23.1,7.27
"40","f4","r2","d1","s4","t8","1D",21.8,7.27
"41","f5","r1","d1","s5","t7","2A",20.9,7.27
"42","f5","r2","d1","s5","t8","2A",22.8,7.27
"43","f5","r1","d1","s5","t7","2A",21.8,7.27
"44","f5","r2","d1","s5","t8","2A",21.6,7.27
"45","f5","r1","d1","s5","t7","2A",21.3,7.27
"46","f5","r2","d1","s5","t8","2A",22.6,7.27
"47","f5","r1","d1","s5","t7","2A",21.6,7.27
"48","f5","r2","d1","s5","t8","2A",21.9,7.27
"49","f5","r1","d1","s5","t7","2A",21,7.27
"50","f5","r2","d1","s5","t8","2A",22.6,7.27
"51","f6","r1","d1","s6","t7","2B",22.6,7.27
"52","f6","r2","d1","s6","t8","2B",23.4,7.27
"53","f6","r1","d1","s6","t7","2B",22.5,7.27
"54","f6","r2","d1","s6","t8","2B",23.1,7.27
"55","f6","r1","d1","s6","t7","2B",22.8,7.27
"56","f6","r2","d1","s6","t8","2B",22.9,7.27
"57","f6","r1","d1","s6","t7","2B",22.6,7.27
"58","f6","r2","d1","s6","t8","2B",22.6,7.27
"59","f6","r1","d1","s6","t7","2B",22.1,7.27
"60","f6","r2","d1","s6","t8","2B",22.9,7.27
"61","f7","r1","d1","s7","t7","2C",25,7.27
"62","f7","r2","d1","s7","t8","2C",22.4,7.27
"63","f7","r1","d1","s7","t7","2C",22.8,7.27
"64","f7","r2","d1","s7","t8","2C",22.2,7.27
"65","f7","r1","d1","s7","t7","2C",22.7,7.27
"66","f7","r2","d1","s7","t8","2C",22.1,7.27
"67","f7","r1","d1","s7","t7","2C",23,7.27
"68","f7","r2","d1","s7","t8","2C",21.8,7.27
"69","f7","r1","d1","s7","t7","2C",24.1,7.27
"70","f7","r2","d1","s7","t8","2C",20.9,7.27
"71","f8","r1","d1","s8","t7","2D",22.5,7.27
"72","f8","r2","d1","s8","t8","2D",21.5,7.27
"73","f8","r1","d1","s8","t7","2D",21.8,7.27
"74","f8","r2","d1","s8","t8","2D",20.8,7.27
"75","f8","r1","d1","s8","t7","2D",22.3,7.27
"76","f8","r2","d1","s8","t8","2D",21.4,7.27
"77","f8","r1","d1","s8","t7","2D",22.2,7.27
"78","f8","r2","d1","s8","t8","2D",21.2,7.27
"79","f8","r1","d1","s8","t7","2D",22.7,7.27
"80","f8","r2","d1","s8","t8","2D",21.6,7.27
"81","f9","r1","d1","s9","t7","3A",23.4,7.27
"82","f9","r2","d1","s9","t8","3A",22.2,7.27
"83","f9","r1","d1","s9","t7","3A",21.4,7.27
"84","f9","r2","d1","s9","t8","3A",22.6,7.27
"85","f9","r1","d1","s9","t7","3A",22.9,7.27
"86","f9","r2","d1","s9","t8","3A",22.8,7.27
"87","f9","r1","d1","s9","t7","3A",22.7,7.27
"88","f9","r2","d1","s9","t8","3A",23.4,7.27
"89","f9","r1","d1","s9","t7","3A",21.9,7.27
"90","f9","r2","d1","s9","t8","3A",21.8,7.27
"91","f10","r1","d1","s10","t7","3B",23.3,7.27
"92","f10","r2","d1","s10","t8","3B",21.9,7.27
"93","f10","r1","d1","s10","t7","3B",22.5,7.27
"94","f10","r2","d1","s10","t8","3B",21.8,7.27
"95","f10","r1","d1","s10","t7","3B",21.5,7.27
"96","f10","r2","d1","s10","t8","3B",21,7.27
"97","f10","r1","d1","s10","t7","3B",22.4,7.27
"98","f10","r2","d1","s10","t8","3B",21.9,7.27
"99","f10","r1","d1","s10","t7","3B",23.1,7.27
"100","f10","r2","d1","s10","t8","3B",20.8,7.27
"101","f11","r1","d1","s11","t7","3C",22.9,7.27
"102","f11","r2","d1","s11","t8","3C",21.8,7.27
"103","f11","r1","d1","s11","t7","3C",22.8,7.27
"104","f11","r2","d1","s11","t8","3C",21.6,7.27
"105","f11","r1","d1","s11","t7","3C",22.4,7.27
"106","f11","r2","d1","s11","t8","3C",20.9,7.27
"107","f11","r1","d1","s11","t7","3C",22.8,7.27
"108","f11","r2","d1","s11","t8","3C",22.3,7.27
"109","f11","r1","d1","s11","t7","3C",22.9,7.27
"110","f11","r2","d1","s11","t8","3C",21.6,7.27
"111","f12","r1","d2","s1","t6","1A",22.7,7.97
"112","f12","r2","d2","s1","t9","1A",22.6,7.97
"113","f12","r1","d2","s1","t6","1A",22.5,7.97
"114","f12","r2","d2","s1","t9","1A",22.5,7.97
"115","f12","r1","d2","s1","t6","1A",23.5,7.97
"116","f12","r2","d2","s1","t9","1A",21.9,7.97
"117","f12","r1","d2","s1","t6","1A",24,7.97
"118","f12","r2","d2","s1","t9","1A",23.1,7.97
"119","f12","r1","d2","s1","t6","1A",22.5,7.97
"120","f12","r2","d2","s1","t9","1A",22.6,7.97
"121","f13","r1","d2","s2","t6","1B",24.6,7.97
"122","f13","r2","d2","s2","t9","1B",23.6,7.97
"123","f13","r1","d2","s2","t6","1B",24.1,7.97
"124","f13","r2","d2","s2","t9","1B",22.8,7.97
"125","f13","r1","d2","s2","t6","1B",23.5,7.97
"126","f13","r2","d2","s2","t9","1B",22.6,7.97
"127","f13","r1","d2","s2","t6","1B",24.4,7.97
"128","f13","r2","d2","s2","t9","1B",23.1,7.97
"129","f13","r1","d2","s2","t6","1B",24,7.97
"130","f13","r2","d2","s2","t9","1B",22.7,7.97
"131","f14","r1","d2","s3","t6","1C",23.5,7.97
"132","f14","r2","d2","s3","t9","1C",22.6,7.97
"133","f14","r1","d2","s3","t6","1C",24.8,7.97
"134","f14","r2","d2","s3","t9","1C",23.6,7.97
"135","f14","r1","d2","s3","t6","1C",22.8,7.97
"136","f14","r2","d2","s3","t9","1C",23.1,7.97
"137","f14","r1","d2","s3","t6","1C",23.1,7.97
"138","f14","r2","d2","s3","t9","1C",22.9,7.97
"139","f14","r1","d2","s3","t6","1C",23.9,7.97
"140","f14","r2","d2","s3","t9","1C",22.6,7.97
"141","f15","r1","d2","s4","t6","1D",23.8,7.97
"142","f15","r2","d2","s4","t9","1D",22.4,7.97
"143","f15","r1","d2","s4","t6","1D",24.5,7.97
"144","f15","r2","d2","s4","t9","1D",22.6,7.97
"145","f15","r1","d2","s4","t6","1D",23.5,7.97
"146","f15","r2","d2","s4","t9","1D",22.6,7.97
"147","f15","r1","d2","s4","t6","1D",24.1,7.97
"148","f15","r2","d2","s4","t9","1D",22.9,7.97
"149","f15","r1","d2","s4","t6","1D",24.3,7.97
"150","f15","r2","d2","s4","t9","1D",23.1,7.97
"151","f16","r1","d2","s5","t6","2A",24.5,7.97
"152","f16","r2","d2","s5","t9","2A",23.1,7.97
"153","f16","r1","d2","s5","t6","2A",24.5,7.97
"154","f16","r2","d2","s5","t9","2A",22.6,7.97
"155","f16","r1","d2","s5","t6","2A",23,7.97
"156","f16","r2","d2","s5","t9","2A",21.9,7.97
"157","f16","r1","d2","s5","t6","2A",23.8,7.97
"158","f16","r2","d2","s5","t9","2A",22.7,7.97
"159","f16","r1","d2","s5","t6","2A",23.9,7.97
"160","f16","r2","d2","s5","t9","2A",23.2,7.97
"161","f17","r1","d2","s6","t6","2B",24.1,7.97
"162","f17","r2","d2","s6","t9","2B",23.1,7.97
"163","f17","r1","d2","s6","t6","2B",22.8,7.97
"164","f17","r2","d2","s6","t9","2B",22.6,7.97
"165","f17","r1","d2","s6","t6","2B",24,7.97
"166","f17","r2","d2","s6","t9","2B",22.4,7.97
"167","f17","r1","d2","s6","t6","2B",23.9,7.97
"168","f17","r2","d2","s6","t9","2B",23.1,7.97
"169","f17","r1","d2","s6","t6","2B",24.2,7.97
"170","f17","r2","d2","s6","t9","2B",22.3,7.97
"171","f18","r1","d2","s7","t6","2C",24,7.97
"172","f18","r2","d2","s7","t9","2C",22.7,7.97
"173","f18","r1","d2","s7","t6","2C",23.5,7.97
