,family,repli,dam,sire,tray,cell,length,egg_size
1,K001,r1,K001,k003,t7,1A,10.965,7.27
2,K001,r1,K001,k003,t7,1A,9.991,7.27
3,K001,r1,K001,k003,t7,1A,10.24,7.27
4,K001,r1,K001,k003,t7,1A,10.75,7.27
5,K001,r1,K001,k003,t7,1A,11.048,7.27
6,K001,r1,K001,k003,t7,1A,9.822,7.27
7,K001,r1,K001,k003,t7,1A,10.574,7.27
8,K001,r1,K001,k003,t7,1A,9.606,7.27
9,K001,r1,K001,k003,t7,1A,10.889,7.27
10,K001,r1,K001,k003,t7,1A,10.778,7.27
11,K001,r1,K001,k003,t7,1A,10.617,7.27
12,K001,r1,K001,k003,t7,1A,9.86,7.27
13,K002,r1,K002,k003,t7,1A,11.393,7.27
14,K002,r1,K002,k003,t7,1A,9.081,7.27
15,K002,r1,K002,k003,t7,1A,9.974,7.27
16,K002,r1,K002,k003,t7,1A,10.261,7.27
17,K002,r1,K002,k003,t7,1A,10.779,7.27
18,K002,r1,K002,k003,t7,1A,9.489,7.27
19,K002,r1,K002,k003,t7,1A,9.918,7.27
20,K002,r1,K002,k003,t7,1A,10.046,7.27
21,K002,r1,K002,k003,t7,1A,9.94,7.27
22,K002,r1,K002,k003,t7,1A,8.883,7.27
23,K004,r1,K004,k006,t7,1A,9.671,7.27
24,K004,r1,K004,k006,t7,1A,10.346,7.27
25,K004,r1,K004,k006,t7,1A,10.462,7.27
26,K004,r1,K004,k006,t7,1A,10.814,7.27
27,K004,r1,K004,k006,t7,1A,10.886,7.27
28,K004,r1,K004,k006,t7,1A,10.9,7.27
29,K004,r1,K004,k006,t7,1A,10.631,7.27
30,K004,r1,K004,k006,t7,1A,10.664,7.27
31,K004,r1,K004,k006,t7,1A,10.815,7.27
32,K004,r1,K004,k006,t7,1A,10.655,7.27
33,K005,r1,K005,k006,t7,1A,9.49,7.27
34,K005,r1,K005,k006,t7,1A,10.972,7.27
35,K005,r1,K005,k006,t7,1A,10.406,7.27
36,K005,r1,K005,k006,t7,1A,10.669,7.27
37,K005,r1,K005,k006,t7,1A,10.875,7.27
38,K005,r1,K005,k006,t7,1A,9.723,7.27
39,K005,r1,K005,k006,t7,1A,9.983,7.27
40,K005,r1,K005,k006,t7,1A,9.827,7.27
41,K005,r1,K005,k006,t7,1A,9.35,7.27
42,K005,r1,K005,k006,t7,1A,11.114,7.27
43,K007,r1,K007,k009,t7,1A,11.484,7.27
44,K007,r1,K007,k009,t7,1A,10.238,7.27
45,K007,r1,K007,k009,t7,1A,11.053,7.27
46,K007,r1,K007,k009,t7,1A,9.624,7.27
47,K007,r1,K007,k009,t7,1A,9.334,7.27
48,K007,r1,K007,k009,t7,1A,11.05,7.27
49,K007,r1,K007,k009,t7,1A,10.978,7.27
50,K007,r1,K007,k009,t7,1A,9.989,7.27
51,K007,r1,K007,k009,t7,1A,8.889,7.27
52,K008,r1,K008,k009,t7,1A,9.726,7.27
53,K008,r1,K008,k009,t7,1A,10.444,7.27
54,K008,r1,K008,k009,t7,1A,10.005,7.27
55,K010,r1,K010,k012,t7,1A,10.612,7.27
56,K010,r1,K010,k012,t7,1A,10.615,7.27
57,K010,r1,K010,k012,t7,1A,10.501,7.27
58,K010,r1,K010,k012,t7,1A,10.205,7.27
59,K010,r1,K010,k012,t7,1A,10.479,7.27
60,K010,r1,K010,k012,t7,1A,10.028,7.27
61,K010,r1,K010,k012,t7,1A,10.282,7.27
62,K010,r1,K010,k012,t7,1A,9.81,7.27
63,K010,r1,K010,k012,t7,1A,10.147,7.27
64,K010,r1,K010,k012,t7,1A,10.458,7.27
65,K010,r1,K010,k012,t7,1A,10.122,7.27
66,K011,r1,K011,k012,t7,1A,10.838,7.27
67,K011,r1,K011,k012,t7,1A,10.377,7.27
68,K011,r1,K011,k012,t7,1A,10.74,7.27
69,K011,r1,K011,k012,t7,1A,10.474,7.27
70,K011,r1,K011,k012,t7,1A,10.704,7.27
71,K011,r1,K011,k012,t7,1A,10.73,7.27
72,K011,r1,K011,k012,t7,1A,9.957,7.27
73,K011,r1,K011,k012,t7,1A,10.247,7.27
74,K011,r1,K011,k012,t7,1A,10.139,7.27
75,K011,r1,K011,k012,t7,1A,10.289,7.27
76,K013,r1,K013,k015,t7,1A,10.143,7.27
77,K013,r1,K013,k015,t7,1A,9.359,7.27
78,K013,r1,K013,k015,t7,1A,8.755,7.27
79,K013,r1,K013,k015,t7,1A,8.924,7.27
80,K013,r1,K013,k015,t7,1A,9.472,7.27
81,K013,r1,K013,k015,t7,1A,10.177,7.27
82,K013,r1,K013,k015,t7,1A,10.063,7.27
83,K013,r1,K013,k015,t7,1A,8.258,7.27
84,K013,r1,K013,k015,t7,1A,8.27,7.27
85,K013,r1,K013,k015,t7,1A,7.849,7.27
86,K014,r1,K014,k015,t7,1A,11.394,7.27
87,K014,r1,K014,k015,t7,1A,9.557,7.27
88,K014,r1,K014,k015,t7,1A,9.331,7.27
89,K014,r1,K014,k015,t7,1A,10.748,7.27
90,K014,r1,K014,k015,t7,1A,10.726,7.27
91,K014,r1,K014,k015,t7,1A,10.898,7.27
92,K014,r1,K014,k015,t7,1A,9.367,7.27
93,K014,r1,K014,k015,t7,1A,8.216,7.27
94,K014,r1,K014,k015,t7,1A,8.537,7.27
95,K014,r1,K014,k015,t7,1A,10.298,7.27
96,K016,r1,K016,k018,t7,1A,11.436,7.27
97,K016,r1,K016,k018,t7,1A,11.063,7.27
98,K016,r1,K016,k018,t7,1A,9.491,7.27
99,K016,r1,K016,k018,t7,1A,11.305,7.27
100,K016,r1,K016,k018,t7,1A,11.198,7.27
101,K016,r1,K016,k018,t7,1A,10.725,7.27
102,K016,r1,K016,k018,t7,1A,8.638,7.27
103,K016,r1,K016,k018,t7,1A,9.746,7.27
104,K016,r1,K016,k018,t7,1A,10.823,7.27
105,K016,r1,K016,k018,t7,1A,9.215,7.27
106,K017,r1,K017,k018,t7,1A,10.471,7.27
107,K017,r1,K017,k018,t7,1A,9.704,7.27
108,K017,r1,K017,k018,t7,1A,8.758,7.27
109,K017,r1,K017,k018,t7,1A,8.898,7.27
110,K017,r1,K017,k018,t7,1A,9.042,7.27
111,K017,r1,K017,k018,t7,1A,9.894,7.27
112,K017,r1,K017,k018,t7,1A,8.496,7.27
113,K017,r1,K017,k018,t7,1A,7.925,7.27
114,K017,r1,K017,k018,t7,1A,10.305,7.27
115,K017,r1,K017,k018,t7,1A,8.281,7.27
116,K019,r1,K019,k021,t7,1A,11.741,7.27
117,K019,r1,K019,k021,t7,1A,11.172,7.27
118,K019,r1,K019,k021,t7,1A,11.134,7.27
119,K019,r1,K019,k021,t7,1A,9.391,7.27
120,K019,r1,K019,k021,t7,1A,11.51,7.27
121,K019,r1,K019,k021,t7,1A,11.496,7.27
122,K019,r1,K019,k021,t7,1A,11.18,7.27
123,K019,r1,K019,k021,t7,1A,10.929,7.27
124,K019,r1,K019,k021,t7,1A,11.309,7.27
125,K019,r1,K019,k021,t7,1A,11.357,7.27
126,K020,r1,K020,k021,t7,1A,12.307,7.27
127,K020,r1,K020,k021,t7,1A,11.279,7.27
128,K020,r1,K020,k021,t7,1A,11.893,7.27
129,K020,r1,K020,k021,t7,1A,11.358,7.27
130,K020,r1,K020,k021,t7,1A,10.971,7.27
131,K020,r1,K020,k021,t7,1A,11.249,7.27
132,K020,r1,K020,k021,t7,1A,11.586,7.27
133,K020,r1,K020,k021,t7,1A,9.496,7.27
134,K020,r1,K020,k021,t7,1A,11.537,7.27
135,K020,r1,K020,k021,t7,1A,10.78,7.27
136,K022,r1,K022,k024,t7,1A,10.921,7.27
137,K022,r1,K022,k024,t7,1A,10.085,7.27
138,K022,r1,K022,k024,t7,1A,9.658,7.27
139,K022,r1,K022,k024,t7,1A,11.448,7.27
140,K022,r1,K022,k024,t7,1A,10.648,7.27
141,K022,r1,K022,k024,t7,1A,9.189,7.27
142,K022,r1,K022,k024,t7,1A,10.312,7.27
143,K022,r1,K022,k024,t7,1A,11.219,7.27
144,K022,r1,K022,k024,t7,1A,9.995,7.27
145,K022,r1,K022,k024,t7,1A,9.171,7.27
146,K023,r1,K023,k024,t7,1A,9.742,7.27
147,K023,r1,K023,k024,t7,1A,9.462,7.27
148,K023,r1,K023,k024,t7,1A,10.037,7.27
149,K023,r1,K023,k024,t7,1A,9.493,7.27
150,K023,r1,K023,k024,t7,1A,9.717,7.27
151,K023,r1,K023,k024,t7,1A,8.815,7.27
152,K023,r1,K023,k024,t7,1A,9.597,7.27
153,K023,r1,K023,k024,t7,1A,9.868,7.27
154,K023,r1,K023,k024,t7,1A,9.223,7.27
155,K023,r1,K023,k024,t7,1A,9.444,7.27
