1-Wire/iButton Part Number: DS1921Z-F5
1-Wire/iButton Registration Number: E33B200002BAE621
Is Mission Active?  false
Mission Start:  Wed Jun 01 10:47:00 AKDT 2016
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  330
Total Samples:  3236
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  High Temp
Next Clock Alarm At:  Disabled
High Temperature Alarm:  26.375 �C
Low Temperature Alarm:  -5.5 �C

Date/Time,Unit,Value
6/1/16 10:47:00 AM,C,20.375
6/1/16 10:57:00 AM,C,20
6/1/16 11:07:00 AM,C,19.625
6/1/16 11:17:00 AM,C,19.375
6/1/16 11:27:00 AM,C,18.125
6/1/16 11:37:00 AM,C,16.375
6/1/16 11:47:00 AM,C,11.5
6/1/16 11:57:00 AM,C,5.375
6/1/16 12:07:00 PM,C,1.25
6/1/16 12:17:00 PM,C,0.5
6/1/16 12:27:00 PM,C,0.5
6/1/16 12:37:00 PM,C,0.625
6/1/16 12:47:00 PM,C,0.625
6/1/16 12:57:00 PM,C,0.625
6/1/16 1:07:00 PM,C,0.625
6/1/16 1:17:00 PM,C,0.5
6/1/16 1:27:00 PM,C,0.625
6/1/16 1:37:00 PM,C,2.75
6/1/16 1:47:00 PM,C,7.875
6/1/16 1:57:00 PM,C,4.125
6/1/16 2:07:00 PM,C,2.875
6/1/16 2:17:00 PM,C,4.75
6/1/16 2:27:00 PM,C,6.25
6/1/16 2:37:00 PM,C,7.25
6/1/16 2:47:00 PM,C,8
6/1/16 2:57:00 PM,C,7.5
6/1/16 3:07:00 PM,C,9.375
6/1/16 3:17:00 PM,C,9.25
6/1/16 3:27:00 PM,C,8.625
6/1/16 3:37:00 PM,C,8.875
6/1/16 3:47:00 PM,C,8.875
6/1/16 3:57:00 PM,C,8.875
6/1/16 4:07:00 PM,C,8.625
6/1/16 4:17:00 PM,C,8.5
6/1/16 4:27:00 PM,C,8.375
6/1/16 4:37:00 PM,C,8.375
6/1/16 4:47:00 PM,C,8.25
6/1/16 4:57:00 PM,C,6.875
6/1/16 5:07:00 PM,C,5.75
6/1/16 5:17:00 PM,C,5.5
6/1/16 5:27:00 PM,C,5.25
6/1/16 5:37:00 PM,C,5
6/1/16 5:47:00 PM,C,5.125
6/1/16 5:57:00 PM,C,5.75
6/1/16 6:07:00 PM,C,9.75
6/1/16 6:17:00 PM,C,12.375
6/1/16 6:27:00 PM,C,13.75
6/1/16 6:37:00 PM,C,13.75
6/1/16 6:47:00 PM,C,13.5
6/1/16 6:57:00 PM,C,13.5
6/1/16 7:07:00 PM,C,13.375
6/1/16 7:17:00 PM,C,13.375
6/1/16 7:27:00 PM,C,13.375
6/1/16 7:37:00 PM,C,13.75
6/1/16 7:47:00 PM,C,15.125
6/1/16 7:57:00 PM,C,15.875
6/1/16 8:07:00 PM,C,15.75
6/1/16 8:17:00 PM,C,17.375
6/1/16 8:27:00 PM,C,18
6/1/16 8:37:00 PM,C,18.375
6/1/16 8:47:00 PM,C,18.5
6/1/16 8:57:00 PM,C,18.625
6/1/16 9:07:00 PM,C,18.75
6/1/16 9:17:00 PM,C,18.25
6/1/16 9:27:00 PM,C,18.125
6/1/16 9:37:00 PM,C,18.875
6/1/16 9:47:00 PM,C,17.75
6/1/16 9:57:00 PM,C,19.75
6/1/16 10:07:00 PM,C,18.625
6/1/16 10:17:00 PM,C,19.25
6/1/16 10:27:00 PM,C,19.125
6/1/16 10:37:00 PM,C,19
6/1/16 10:47:00 PM,C,18.875
6/1/16 10:57:00 PM,C,18.75
6/1/16 11:07:00 PM,C,18.75
6/1/16 11:17:00 PM,C,18.625
6/1/16 11:27:00 PM,C,18.625
6/1/16 11:37:00 PM,C,18.625
6/1/16 11:47:00 PM,C,18.625
6/1/16 11:57:00 PM,C,18.5
6/2/16 12:07:00 AM,C,18.875
6/2/16 12:17:00 AM,C,18.875
6/2/16 12:27:00 AM,C,18.625
6/2/16 12:37:00 AM,C,18.375
6/2/16 12:47:00 AM,C,18.125
6/2/16 12:57:00 AM,C,18
6/2/16 1:07:00 AM,C,17.75
6/2/16 1:17:00 AM,C,17.5
6/2/16 1:27:00 AM,C,17.375
6/2/16 1:37:00 AM,C,17.25
6/2/16 1:47:00 AM,C,17
6/2/16 1:57:00 AM,C,16.875
6/2/16 2:07:00 AM,C,16.75
6/2/16 2:17:00 AM,C,16.5
6/2/16 2:27:00 AM,C,16.375
6/2/16 2:37:00 AM,C,16.25
6/2/16 2:47:00 AM,C,16.125
6/2/16 2:57:00 AM,C,16
6/2/16 3:07:00 AM,C,15.875
6/2/16 3:17:00 AM,C,15.75
6/2/16 3:27:00 AM,C,15.75
6/2/16 3:37:00 AM,C,15.625
6/2/16 3:47:00 AM,C,15.5
6/2/16 3:57:00 AM,C,15.375
6/2/16 4:07:00 AM,C,15.25
6/2/16 4:17:00 AM,C,15.25
6/2/16 4:27:00 AM,C,15.125
6/2/16 4:37:00 AM,C,15
6/2/16 4:47:00 AM,C,15
6/2/16 4:57:00 AM,C,14.875
6/2/16 5:07:00 AM,C,14.75
6/2/16 5:17:00 AM,C,14.75
6/2/16 5:27:00 AM,C,14.625
6/2/16 5:37:00 AM,C,14.625
6/2/16 5:47:00 AM,C,14.5
6/2/16 5:57:00 AM,C,14.375
6/2/16 6:07:00 AM,C,14.375
6/2/16 6:17:00 AM,C,14.375
6/2/16 6:27:00 AM,C,14.375
6/2/16 6:37:00 AM,C,14.625
6/2/16 6:47:00 AM,C,15
6/2/16 6:57:00 AM,C,15.375
6/2/16 7:07:00 AM,C,15.875
6/2/16 7:17:00 AM,C,16.125
6/2/16 7:27:00 AM,C,16.5
6/2/16 7:37:00 AM,C,16.75
6/2/16 7:47:00 AM,C,17.25
6/2/16 7:57:00 AM,C,17.5
6/2/16 8:07:00 AM,C,17.625
6/2/16 8:17:00 AM,C,17.75
6/2/16 8:27:00 AM,C,18.875
6/2/16 8:37:00 AM,C,17
6/2/16 8:47:00 AM,C,16.125
6/2/16 8:57:00 AM,C,15.875
6/2/16 9:07:00 AM,C,15.875
6/2/16 9:17:00 AM,C,15.875
6/2/16 9:27:00 AM,C,15.875
6/2/16 9:37:00 AM,C,15.875
6/2/16 9:47:00 AM,C,16.125
6/2/16 9:57:00 AM,C,15.875
6/2/16 10:07:00 AM,C,15.75
6/2/16 10:17:00 AM,C,15.75
6/2/16 10:27:00 AM,C,16
6/2/16 10:37:00 AM,C,16.125
6/2/16 10:47:00 AM,C,15.5
6/2/16 10:57:00 AM,C,14.375
6/2/16 11:07:00 AM,C,13.5
6/2/16 11:17:00 AM,C,12.875
6/2/16 11:27:00 AM,C,13.875
6/2/16 11:37:00 AM,C,14
6/2/16 11:47:00 AM,C,21.5
6/2/16 11:57:00 AM,C,5.875
6/2/16 12:07:00 PM,C,4.75
6/2/16 12:17:00 PM,C,4.5
6/2/16 12:27:00 PM,C,4.625
6/2/16 12:37:00 PM,C,4.875
6/2/16 12:47:00 PM,C,5
6/2/16 12:57:00 PM,C,4.875
6/2/16 1:07:00 PM,C,5.25
6/2/16 1:17:00 PM,C,5.5
6/2/16 1:27:00 PM,C,5.625
6/2/16 1:37:00 PM,C,5.375
6/2/16 1:47:00 PM,C,5.25
6/2/16 1:57:00 PM,C,5.25
6/2/16 2:07:00 PM,C,5.375
6/2/16 2:17:00 PM,C,5.375
6/2/16 2:27:00 PM,C,5.25
6/2/16 2:37:00 PM,C,5.125
6/2/16 2:47:00 PM,C,5.375
6/2/16 2:57:00 PM,C,5.375
6/2/16 3:07:00 PM,C,5.375
6/2/16 3:17:00 PM,C,5.5
6/2/16 3:27:00 PM,C,5.5
6/2/16 3:37:00 PM,C,5.625
6/2/16 3:47:00 PM,C,5.875
6/2/16 3:57:00 PM,C,6.125
6/2/16 4:07:00 PM,C,6.375
6/2/16 4:17:00 PM,C,6.375
6/2/16 4:27:00 PM,C,5.875
6/2/16 4:37:00 PM,C,5.75
