1-Wire/iButton Part Number: DS1921Z-F5
1-Wire/iButton Registration Number: E63B200002BA4521
Is Mission Active?  false
Mission Start:  Fri Sep 04 17:12:00 AKDT 2015
Sample Rate:  Every 225 minute(s)
Number of Mission Samples:  1938
Total Samples:  1938
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  High Temp
Next Clock Alarm At:  Disabled
High Temperature Alarm:  26.375 �C
Low Temperature Alarm:  -5.5 �C

Date/Time,Unit,Value
9/4/15 5:12:00 PM,C,23.5
9/4/15 8:57:00 PM,C,21.625
9/5/15 12:42:00 AM,C,19.625
9/5/15 4:27:00 AM,C,19.25
9/5/15 8:12:00 AM,C,19.125
9/5/15 11:57:00 AM,C,19.875
9/5/15 3:42:00 PM,C,19.5
9/5/15 7:27:00 PM,C,19.5
9/5/15 11:12:00 PM,C,19.125
9/6/15 2:57:00 AM,C,18.875
9/6/15 6:42:00 AM,C,15.875
9/6/15 10:27:00 AM,C,18.5
9/6/15 2:12:00 PM,C,19.25
9/6/15 5:57:00 PM,C,19.375
9/6/15 9:42:00 PM,C,18.625
9/7/15 1:27:00 AM,C,17.875
9/7/15 5:12:00 AM,C,17.75
9/7/15 8:57:00 AM,C,12
9/7/15 12:42:00 PM,C,4.125
9/7/15 4:27:00 PM,C,4.25
9/7/15 8:12:00 PM,C,4
9/7/15 11:57:00 PM,C,3.625
9/8/15 3:42:00 AM,C,3.125
9/8/15 7:27:00 AM,C,2.75
9/8/15 11:12:00 AM,C,3.125
9/8/15 2:57:00 PM,C,4.125
9/8/15 6:42:00 PM,C,4.125
9/8/15 10:27:00 PM,C,3.5
9/9/15 2:12:00 AM,C,3
9/9/15 5:57:00 AM,C,2.5
9/9/15 9:42:00 AM,C,2.125
9/9/15 1:27:00 PM,C,2.125
9/9/15 5:12:00 PM,C,2.25
9/9/15 8:57:00 PM,C,2
9/10/15 12:42:00 AM,C,1.25
9/10/15 4:27:00 AM,C,0.625
9/10/15 8:12:00 AM,C,0.5
9/10/15 11:57:00 AM,C,1.375
9/10/15 3:42:00 PM,C,2.25
9/10/15 7:27:00 PM,C,2.625
9/10/15 11:12:00 PM,C,2.25
9/11/15 2:57:00 AM,C,1.75
9/11/15 6:42:00 AM,C,1.375
9/11/15 10:27:00 AM,C,1.5
9/11/15 2:12:00 PM,C,2.625
9/11/15 5:57:00 PM,C,3.25
9/11/15 9:42:00 PM,C,2.875
9/12/15 1:27:00 AM,C,2.25
9/12/15 5:12:00 AM,C,1.375
9/12/15 8:57:00 AM,C,1.375
9/12/15 12:42:00 PM,C,2.125
9/12/15 4:27:00 PM,C,3.375
9/12/15 8:12:00 PM,C,3.375
9/12/15 11:57:00 PM,C,2.375
9/13/15 3:42:00 AM,C,1.625
9/13/15 7:27:00 AM,C,1.5
9/13/15 11:12:00 AM,C,2.125
9/13/15 2:57:00 PM,C,3.25
9/13/15 6:42:00 PM,C,3.25
9/13/15 10:27:00 PM,C,2.75
9/14/15 2:12:00 AM,C,2
9/14/15 5:57:00 AM,C,1.75
9/14/15 9:42:00 AM,C,1.875
9/14/15 1:27:00 PM,C,2.375
