1-Wire/iButton Part Number: DS1921Z-F5
1-Wire/iButton Registration Number: 7C3B200002B81421
Is Mission Active?  false
Mission Start:  Fri Sep 04 17:24:00 AKDT 2015
Sample Rate:  Every 225 minute(s)
Number of Mission Samples:  1938
Total Samples:  1938
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  High Temp, Low Temp
Next Clock Alarm At:  Disabled
High Temperature Alarm:  26.375 �C
Low Temperature Alarm:  -5.5 �C

Date/Time,Unit,Value
9/4/15 5:24:00 PM,C,23.875
9/4/15 9:09:00 PM,C,22.5
9/5/15 12:54:00 AM,C,19.75
9/5/15 4:39:00 AM,C,19.375
9/5/15 8:24:00 AM,C,19.375
9/5/15 12:09:00 PM,C,20
9/5/15 3:54:00 PM,C,19.5
9/5/15 7:39:00 PM,C,19.25
9/5/15 11:24:00 PM,C,19.25
9/6/15 3:09:00 AM,C,19
9/6/15 6:54:00 AM,C,15.75
9/6/15 10:39:00 AM,C,19.375
9/6/15 2:24:00 PM,C,19.25
9/6/15 6:09:00 PM,C,19.625
9/6/15 9:54:00 PM,C,18.875
9/7/15 1:39:00 AM,C,18
9/7/15 5:24:00 AM,C,18
9/7/15 9:09:00 AM,C,13
9/7/15 12:54:00 PM,C,8.375
9/7/15 4:39:00 PM,C,4.25
9/7/15 8:24:00 PM,C,4
9/8/15 12:09:00 AM,C,3.5
9/8/15 3:54:00 AM,C,2.875
9/8/15 7:39:00 AM,C,2.375
9/8/15 11:24:00 AM,C,3
9/8/15 3:09:00 PM,C,4.5
9/8/15 6:54:00 PM,C,4
9/8/15 10:39:00 PM,C,3
9/9/15 2:24:00 AM,C,2.625
9/9/15 6:09:00 AM,C,2.125
9/9/15 9:54:00 AM,C,1.75
9/9/15 1:39:00 PM,C,2.5
9/9/15 5:24:00 PM,C,2.625
9/9/15 9:09:00 PM,C,1.5
9/10/15 12:54:00 AM,C,0.625
9/10/15 4:39:00 AM,C,0.375
9/10/15 8:24:00 AM,C,0.5
9/10/15 12:09:00 PM,C,1.75
9/10/15 3:54:00 PM,C,3
9/10/15 7:39:00 PM,C,2.5
9/10/15 11:24:00 PM,C,1.5
9/11/15 3:09:00 AM,C,1.125
9/11/15 6:54:00 AM,C,0.875
9/11/15 10:39:00 AM,C,2.125
9/11/15 2:24:00 PM,C,3.25
9/11/15 6:09:00 PM,C,3.75
9/11/15 9:54:00 PM,C,2.5
9/12/15 1:39:00 AM,C,1.5
9/12/15 5:24:00 AM,C,1.125
9/12/15 9:09:00 AM,C,1.375
9/12/15 12:54:00 PM,C,4.125
9/12/15 4:39:00 PM,C,4.375
9/12/15 8:24:00 PM,C,3.125
9/13/15 12:09:00 AM,C,1.75
9/13/15 3:54:00 AM,C,1
9/13/15 7:39:00 AM,C,1.25
9/13/15 11:24:00 AM,C,2.375
9/13/15 3:09:00 PM,C,3.5
9/13/15 6:54:00 PM,C,3.5
9/13/15 10:39:00 PM,C,2.125
9/14/15 2:24:00 AM,C,1.625
9/14/15 6:09:00 AM,C,1.25
9/14/15 9:54:00 AM,C,1.375
9/14/15 1:39:00 PM,C,1.875
9/14/15 5:24:00 PM,C,2
9/14/15 9:09:00 PM,C,1.25
9/15/15 12:54:00 AM,C,0.625
9/15/15 4:39:00 AM,C,0.375
9/15/15 8:24:00 AM,C,0.25
9/15/15 12:09:00 PM,C,1.5
9/15/15 3:54:00 PM,C,3.125
9/15/15 7:39:00 PM,C,2.125
9/15/15 11:24:00 PM,C,1.25
9/16/15 3:09:00 AM,C,0.875
9/16/15 6:54:00 AM,C,0.625
9/16/15 10:39:00 AM,C,1.25
9/16/15 2:24:00 PM,C,3.25
9/16/15 6:09:00 PM,C,2.875
9/16/15 9:54:00 PM,C,1.75
9/17/15 1:39:00 AM,C,0.75
9/17/15 5:24:00 AM,C,0.25
9/17/15 9:09:00 AM,C,0.25
9/17/15 12:54:00 PM,C,1.5
9/17/15 4:39:00 PM,C,2
9/17/15 8:24:00 PM,C,1
9/18/15 12:09:00 AM,C,0.125
9/18/15 3:54:00 AM,C,-0.25
9/18/15 7:39:00 AM,C,-0.375
9/18/15 11:24:00 AM,C,0
9/18/15 3:09:00 PM,C,0.625
9/18/15 6:54:00 PM,C,0.125
9/18/15 10:39:00 PM,C,-0.375
9/19/15 2:24:00 AM,C,-0.375
9/19/15 6:09:00 AM,C,-0.375
9/19/15 9:54:00 AM,C,-0.25
9/19/15 1:39:00 PM,C,0.75
9/19/15 5:24:00 PM,C,1.625
9/19/15 9:09:00 PM,C,-0.125
9/20/15 12:54:00 AM,C,-0.375
9/20/15 4:39:00 AM,C,-0.375
9/20/15 8:24:00 AM,C,-0.375
9/20/15 12:09:00 PM,C,0.375
9/20/15 3:54:00 PM,C,1.25
9/20/15 7:39:00 PM,C,0.125
9/20/15 11:24:00 PM,C,-0.375
9/21/15 3:09:00 AM,C,-0.375
9/21/15 6:54:00 AM,C,-0.375
9/21/15 10:39:00 AM,C,-0.125
9/21/15 2:24:00 PM,C,0.5
9/21/15 6:09:00 PM,C,0.375
9/21/15 9:54:00 PM,C,-0.375
9/22/15 1:39:00 AM,C,-0.375
9/22/15 5:24:00 AM,C,-0.375
9/22/15 9:09:00 AM,C,-0.25
9/22/15 12:54:00 PM,C,0.25
9/22/15 4:39:00 PM,C,0.375
9/22/15 8:24:00 PM,C,-0.5
9/23/15 12:09:00 AM,C,-0.375
9/23/15 3:54:00 AM,C,-0.375
