1-Wire/iButton Part Number: DS1921Z-F5
1-Wire/iButton Registration Number: BF3B200002BC1021
Is Mission Active?  false
Mission Start:  Fri Sep 04 16:48:00 AKDT 2015
Sample Rate:  Every 225 minute(s)
Number of Mission Samples:  1938
Total Samples:  1938
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  High Temp
Next Clock Alarm At:  Disabled
High Temperature Alarm:  26.375 �C
Low Temperature Alarm:  -5.5 �C

Date/Time,Unit,Value
9/4/15 4:48:00 PM,C,23.5
9/4/15 8:33:00 PM,C,20.125
9/5/15 12:18:00 AM,C,18.625
9/5/15 4:03:00 AM,C,18.625
9/5/15 7:48:00 AM,C,18.375
9/5/15 11:33:00 AM,C,11.625
9/5/15 3:18:00 PM,C,4.25
9/5/15 7:03:00 PM,C,3.625
9/5/15 10:48:00 PM,C,2.375
9/6/15 2:33:00 AM,C,1.625
9/6/15 6:18:00 AM,C,1.375
9/6/15 10:03:00 AM,C,1.875
9/6/15 1:48:00 PM,C,3.5
9/6/15 5:33:00 PM,C,4
9/6/15 9:18:00 PM,C,3
9/7/15 1:03:00 AM,C,2
9/7/15 4:48:00 AM,C,1.75
9/7/15 8:33:00 AM,C,1.75
9/7/15 12:18:00 PM,C,2.875
9/7/15 4:03:00 PM,C,3.5
9/7/15 7:48:00 PM,C,2.875
9/7/15 11:33:00 PM,C,2.375
9/8/15 3:18:00 AM,C,2
9/8/15 7:03:00 AM,C,1.75
9/8/15 10:48:00 AM,C,2.125
9/8/15 2:33:00 PM,C,3.125
9/8/15 6:18:00 PM,C,3
9/8/15 10:03:00 PM,C,2.25
9/9/15 1:48:00 AM,C,1.75
9/9/15 5:33:00 AM,C,1.5
9/9/15 9:18:00 AM,C,1.375
9/9/15 1:03:00 PM,C,2
9/9/15 4:48:00 PM,C,2.375
9/9/15 8:33:00 PM,C,1.375
9/10/15 12:18:00 AM,C,1
9/10/15 4:03:00 AM,C,0.875
9/10/15 7:48:00 AM,C,1
9/10/15 11:33:00 AM,C,1.625
9/10/15 3:18:00 PM,C,2.75
9/10/15 7:03:00 PM,C,2.125
9/10/15 10:48:00 PM,C,1.5
9/11/15 2:33:00 AM,C,1.25
9/11/15 6:18:00 AM,C,1
9/11/15 10:03:00 AM,C,1.375
9/11/15 1:48:00 PM,C,2.625
9/11/15 5:33:00 PM,C,2.75
