1-Wire/iButton Part Number: DS1921Z-F5
1-Wire/iButton Registration Number: 393B200002BC8121
Is Mission Active?  true
Mission Start:  Mon May 29 20:51:00 AKDT 2017
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  1666
Total Samples:  4098
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  26.375 �C
Low Temperature Alarm:  -5.5 �C

Date/Time,Unit,Value
5/29/17 8:51:00 PM,C,20.375
5/29/17 9:01:00 PM,C,22.25
5/29/17 9:11:00 PM,C,18.5
5/29/17 9:21:00 PM,C,16.75
5/29/17 9:31:00 PM,C,16.125
5/29/17 9:41:00 PM,C,11.75
5/29/17 9:51:00 PM,C,11.625
5/29/17 10:01:00 PM,C,11.5
5/29/17 10:11:00 PM,C,11.5
5/29/17 10:21:00 PM,C,11.5
5/29/17 10:31:00 PM,C,11.5
5/29/17 10:41:00 PM,C,11.5
5/29/17 10:51:00 PM,C,11.5
5/29/17 11:01:00 PM,C,11.5
5/29/17 11:11:00 PM,C,11.5
5/29/17 11:21:00 PM,C,11.375
5/29/17 11:31:00 PM,C,11.5
5/29/17 11:41:00 PM,C,11.5
5/29/17 11:51:00 PM,C,11.5
5/30/17 12:01:00 AM,C,11.5
5/30/17 12:11:00 AM,C,11.5
5/30/17 12:21:00 AM,C,11.5
5/30/17 12:31:00 AM,C,11.5
5/30/17 12:41:00 AM,C,11.5
5/30/17 12:51:00 AM,C,11.375
5/30/17 1:01:00 AM,C,11.5
5/30/17 1:11:00 AM,C,11.375
5/30/17 1:21:00 AM,C,11.5
5/30/17 1:31:00 AM,C,11.5
5/30/17 1:41:00 AM,C,11.5
5/30/17 1:51:00 AM,C,11.5
5/30/17 2:01:00 AM,C,11.5
5/30/17 2:11:00 AM,C,11.5
5/30/17 2:21:00 AM,C,11.5
5/30/17 2:31:00 AM,C,11.5
5/30/17 2:41:00 AM,C,11.5
5/30/17 2:51:00 AM,C,11.5
5/30/17 3:01:00 AM,C,11.5
5/30/17 3:11:00 AM,C,11.5
5/30/17 3:21:00 AM,C,11.5
5/30/17 3:31:00 AM,C,11.5
5/30/17 3:41:00 AM,C,11.5
5/30/17 3:51:00 AM,C,11.5
5/30/17 4:01:00 AM,C,11.625
5/30/17 4:11:00 AM,C,11.5
5/30/17 4:21:00 AM,C,11.5
5/30/17 4:31:00 AM,C,11.5
5/30/17 4:41:00 AM,C,11.5
5/30/17 4:51:00 AM,C,11.5
5/30/17 5:01:00 AM,C,11.5
5/30/17 5:11:00 AM,C,11.5
5/30/17 5:21:00 AM,C,11.5
5/30/17 5:31:00 AM,C,11.5
5/30/17 5:41:00 AM,C,11.5
5/30/17 5:51:00 AM,C,11.5
5/30/17 6:01:00 AM,C,11.5
5/30/17 6:11:00 AM,C,11.5
5/30/17 6:21:00 AM,C,11.5
5/30/17 6:31:00 AM,C,11.5
5/30/17 6:41:00 AM,C,11.5
5/30/17 6:51:00 AM,C,11.5
5/30/17 7:01:00 AM,C,11.5
5/30/17 7:11:00 AM,C,11.5
5/30/17 7:21:00 AM,C,11.5
5/30/17 7:31:00 AM,C,11.5
5/30/17 7:41:00 AM,C,11.5
5/30/17 7:51:00 AM,C,11.5
5/30/17 8:01:00 AM,C,11.5
5/30/17 8:11:00 AM,C,11.5
5/30/17 8:21:00 AM,C,11.625
5/30/17 8:31:00 AM,C,11.625
5/30/17 8:41:00 AM,C,11.625
5/30/17 8:51:00 AM,C,11.625
5/30/17 9:01:00 AM,C,11.625
5/30/17 9:11:00 AM,C,11.625
5/30/17 9:21:00 AM,C,11.625
5/30/17 9:31:00 AM,C,11.625
5/30/17 9:41:00 AM,C,11.625
5/30/17 9:51:00 AM,C,11.75
5/30/17 10:01:00 AM,C,11.75
5/30/17 10:11:00 AM,C,11.75
5/30/17 10:21:00 AM,C,11.75
5/30/17 10:31:00 AM,C,11.75
5/30/17 10:41:00 AM,C,11.75
5/30/17 10:51:00 AM,C,11.75
5/30/17 11:01:00 AM,C,11.75
5/30/17 11:11:00 AM,C,11.75
5/30/17 11:21:00 AM,C,11.75
5/30/17 11:31:00 AM,C,11.75
5/30/17 11:41:00 AM,C,11.75
5/30/17 11:51:00 AM,C,11.75
5/30/17 12:01:00 PM,C,11.875
5/30/17 12:11:00 PM,C,11.875
5/30/17 12:21:00 PM,C,11.875
5/30/17 12:31:00 PM,C,11.75
