1-Wire/iButton Part Number: DS1921Z-F5
1-Wire/iButton Registration Number: AC3B200002BB5121
Is Mission Active?  true
Mission Start:  Mon May 22 21:16:00 AKDT 2017
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  589
Total Samples:  2527
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  High Temp
Next Clock Alarm At:  Disabled
High Temperature Alarm:  26.375 �C
Low Temperature Alarm:  -5.5 �C

Date/Time,Unit,Value
5/22/17 9:16:00 PM,C,22.875
5/22/17 9:26:00 PM,C,20.25
5/22/17 9:36:00 PM,C,19.125
5/22/17 9:46:00 PM,C,16
5/22/17 9:56:00 PM,C,15.5
5/22/17 10:06:00 PM,C,15.625
5/22/17 10:16:00 PM,C,15.625
5/22/17 10:26:00 PM,C,15.75
5/22/17 10:36:00 PM,C,15.75
5/22/17 10:46:00 PM,C,15.75
5/22/17 10:56:00 PM,C,15.75
5/22/17 11:06:00 PM,C,15.75
5/22/17 11:16:00 PM,C,15.75
5/22/17 11:26:00 PM,C,15.75
5/22/17 11:36:00 PM,C,15.875
5/22/17 11:46:00 PM,C,15.875
5/22/17 11:56:00 PM,C,15.875
5/23/17 12:06:00 AM,C,15.875
5/23/17 12:16:00 AM,C,15.875
5/23/17 12:26:00 AM,C,15.875
5/23/17 12:36:00 AM,C,15.875
5/23/17 12:46:00 AM,C,15.875
5/23/17 12:56:00 AM,C,15.875
5/23/17 1:06:00 AM,C,15.875
5/23/17 1:16:00 AM,C,16
5/23/17 1:26:00 AM,C,16
5/23/17 1:36:00 AM,C,16
5/23/17 1:46:00 AM,C,16
5/23/17 1:56:00 AM,C,16
5/23/17 2:06:00 AM,C,16
5/23/17 2:16:00 AM,C,16
5/23/17 2:26:00 AM,C,16
5/23/17 2:36:00 AM,C,16
5/23/17 2:46:00 AM,C,16
5/23/17 2:56:00 AM,C,16
5/23/17 3:06:00 AM,C,16
5/23/17 3:16:00 AM,C,16.125
5/23/17 3:26:00 AM,C,16.125
5/23/17 3:36:00 AM,C,16.125
5/23/17 3:46:00 AM,C,16.125
5/23/17 3:56:00 AM,C,16.125
5/23/17 4:06:00 AM,C,16.125
5/23/17 4:16:00 AM,C,16.125
5/23/17 4:26:00 AM,C,16.125
5/23/17 4:36:00 AM,C,16.125
5/23/17 4:46:00 AM,C,16.125
5/23/17 4:56:00 AM,C,16.125
5/23/17 5:06:00 AM,C,16.125
5/23/17 5:16:00 AM,C,16.125
5/23/17 5:26:00 AM,C,16.125
5/23/17 5:36:00 AM,C,16.125
5/23/17 5:46:00 AM,C,16
5/23/17 5:56:00 AM,C,16
5/23/17 6:06:00 AM,C,16
5/23/17 6:16:00 AM,C,16
5/23/17 6:26:00 AM,C,16
5/23/17 6:36:00 AM,C,16
5/23/17 6:46:00 AM,C,15.875
5/23/17 6:56:00 AM,C,15.875
5/23/17 7:06:00 AM,C,15.875
5/23/17 7:16:00 AM,C,15.875
5/23/17 7:26:00 AM,C,15.875
5/23/17 7:36:00 AM,C,15.875
5/23/17 7:46:00 AM,C,15.875
5/23/17 7:56:00 AM,C,15.875
5/23/17 8:06:00 AM,C,15.875
5/23/17 8:16:00 AM,C,15.875
5/23/17 8:26:00 AM,C,15.875
5/23/17 8:36:00 AM,C,15.875
5/23/17 8:46:00 AM,C,15.875
5/23/17 8:56:00 AM,C,15.875
5/23/17 9:06:00 AM,C,15.875
5/23/17 9:16:00 AM,C,15.875
5/23/17 9:26:00 AM,C,15.875
5/23/17 9:36:00 AM,C,15.875
5/23/17 9:46:00 AM,C,15.875
5/23/17 9:56:00 AM,C,15.875
5/23/17 10:06:00 AM,C,15.875
5/23/17 10:16:00 AM,C,15.875
5/23/17 10:26:00 AM,C,15.875
5/23/17 10:36:00 AM,C,15.875
5/23/17 10:46:00 AM,C,15.875
5/23/17 10:56:00 AM,C,15.875
5/23/17 11:06:00 AM,C,15.875
5/23/17 11:16:00 AM,C,15.875
5/23/17 11:26:00 AM,C,15.875
5/23/17 11:36:00 AM,C,15.75
5/23/17 11:46:00 AM,C,15.75
5/23/17 11:56:00 AM,C,15.75
5/23/17 12:06:00 PM,C,15.75
5/23/17 12:16:00 PM,C,15.75
5/23/17 12:26:00 PM,C,15.625
5/23/17 12:36:00 PM,C,15.625
5/23/17 12:46:00 PM,C,15.625
5/23/17 12:56:00 PM,C,15.625
5/23/17 1:06:00 PM,C,15.75
5/23/17 1:16:00 PM,C,15.75
5/23/17 1:26:00 PM,C,15.75
5/23/17 1:36:00 PM,C,15.75
5/23/17 1:46:00 PM,C,15.75
5/23/17 1:56:00 PM,C,15.75
5/23/17 2:06:00 PM,C,15.875
5/23/17 2:16:00 PM,C,15.875
5/23/17 2:26:00 PM,C,15.875
5/23/17 2:36:00 PM,C,15.875
5/23/17 2:46:00 PM,C,15.875
5/23/17 2:56:00 PM,C,15.875
5/23/17 3:06:00 PM,C,15.875
5/23/17 3:16:00 PM,C,15.875
5/23/17 3:26:00 PM,C,15.875
5/23/17 3:36:00 PM,C,15.875
5/23/17 3:46:00 PM,C,15.75
5/23/17 3:56:00 PM,C,15.625
5/23/17 4:06:00 PM,C,15.625
5/23/17 4:16:00 PM,C,15.5
5/23/17 4:26:00 PM,C,15.25
5/23/17 4:36:00 PM,C,15.125
5/23/17 4:46:00 PM,C,15
5/23/17 4:56:00 PM,C,14.125
5/23/17 5:06:00 PM,C,13.25
5/23/17 5:16:00 PM,C,13.375
5/23/17 5:26:00 PM,C,13.5
5/23/17 5:36:00 PM,C,13.5
5/23/17 5:46:00 PM,C,13.625
5/23/17 5:56:00 PM,C,13.75
5/23/17 6:06:00 PM,C,13.875
5/23/17 6:16:00 PM,C,14
5/23/17 6:26:00 PM,C,14
5/23/17 6:36:00 PM,C,14.125
5/23/17 6:46:00 PM,C,14.25
5/23/17 6:56:00 PM,C,14.25
5/23/17 7:06:00 PM,C,14.375
5/23/17 7:16:00 PM,C,14.5
5/23/17 7:26:00 PM,C,14.5
5/23/17 7:36:00 PM,C,14.625
5/23/17 7:46:00 PM,C,14.75
5/23/17 7:56:00 PM,C,14.75
5/23/17 8:06:00 PM,C,14.875
5/23/17 8:16:00 PM,C,15
5/23/17 8:26:00 PM,C,15.125
5/23/17 8:36:00 PM,C,15.25
5/23/17 8:46:00 PM,C,15.25
5/23/17 8:56:00 PM,C,15.375
5/23/17 9:06:00 PM,C,15.375
5/23/17 9:16:00 PM,C,15.5
5/23/17 9:26:00 PM,C,15.5
5/23/17 9:36:00 PM,C,15.5
5/23/17 9:46:00 PM,C,15.5
5/23/17 9:56:00 PM,C,15.5
5/23/17 10:06:00 PM,C,15.5
5/23/17 10:16:00 PM,C,15.5
5/23/17 10:26:00 PM,C,15.625
5/23/17 10:36:00 PM,C,15.625
5/23/17 10:46:00 PM,C,15.625
5/23/17 10:56:00 PM,C,15.625
5/23/17 11:06:00 PM,C,15.625
5/23/17 11:16:00 PM,C,15.625
5/23/17 11:26:00 PM,C,15.625
5/23/17 11:36:00 PM,C,15.625
5/23/17 11:46:00 PM,C,15.625
5/23/17 11:56:00 PM,C,15.625
5/24/17 12:06:00 AM,C,15.625
5/24/17 12:16:00 AM,C,15.625
5/24/17 12:26:00 AM,C,15.625
5/24/17 12:36:00 AM,C,15.625
5/24/17 12:46:00 AM,C,15.625
5/24/17 12:56:00 AM,C,15.625
5/24/17 1:06:00 AM,C,15.625
5/24/17 1:16:00 AM,C,15.625
5/24/17 1:26:00 AM,C,15.625
5/24/17 1:36:00 AM,C,15.625
5/24/17 1:46:00 AM,C,15.625
5/24/17 1:56:00 AM,C,15.625
5/24/17 2:06:00 AM,C,15.625
5/24/17 2:16:00 AM,C,15.625
5/24/17 2:26:00 AM,C,15.625
5/24/17 2:36:00 AM,C,15.625
5/24/17 2:46:00 AM,C,15.625
5/24/17 2:56:00 AM,C,15.625
5/24/17 3:06:00 AM,C,15.625
5/24/17 3:16:00 AM,C,15.625
5/24/17 3:26:00 AM,C,15.625
5/24/17 3:36:00 AM,C,15.625
5/24/17 3:46:00 AM,C,15.625
5/24/17 3:56:00 AM,C,15.625
5/24/17 4:06:00 AM,C,15.625
5/24/17 4:16:00 AM,C,15.625
5/24/17 4:26:00 AM,C,15.625
5/24/17 4:36:00 AM,C,15.625
5/24/17 4:46:00 AM,C,15.625
5/24/17 4:56:00 AM,C,15.625
5/24/17 5:06:00 AM,C,15.625
5/24/17 5:16:00 AM,C,15.625
5/24/17 5:26:00 AM,C,15.625
5/24/17 5:36:00 AM,C,15.625
5/24/17 5:46:00 AM,C,15.625
5/24/17 5:56:00 AM,C,15.625
5/24/17 6:06:00 AM,C,15.625
5/24/17 6:16:00 AM,C,15.625
5/24/17 6:26:00 AM,C,15.625
5/24/17 6:36:00 AM,C,15.625
5/24/17 6:46:00 AM,C,15.75
5/24/17 6:56:00 AM,C,15.75
5/24/17 7:06:00 AM,C,15.75
5/24/17 7:16:00 AM,C,15.75
5/24/17 7:26:00 AM,C,15.75
5/24/17 7:36:00 AM,C,15.75
5/24/17 7:46:00 AM,C,15.75
5/24/17 7:56:00 AM,C,15.75
5/24/17 8:06:00 AM,C,15.75
5/24/17 8:16:00 AM,C,15.75
5/24/17 8:26:00 AM,C,15.75
5/24/17 8:36:00 AM,C,15.75
5/24/17 8:46:00 AM,C,15.75
5/24/17 8:56:00 AM,C,15.75
