location,days.post.fert,Treatment,family,indiv.1to15,yolk.sac.volume,Comment
Kup,0,T1,K1,1,17.22014186,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K1,2,13.19781949,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K1,3,12.66380122,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K1,4,11.23685708,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K1,5,11.48964015,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K1,6,8.259655273,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K10,1,14.04010221,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K10,2,12.03503157,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K10,3,11.00926144,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K10,4,17.59090494,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K10,5,8.175620589,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K10,6,13.07982002,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K10,7,16.02103161,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K10,8,15.53743613,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K11,1,16.35862892,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K11,2,14.92895441,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K11,3,12.22435378,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K11,4,17.86247553,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K11,5,12.192494,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K11,6,9.489568494,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K11,7,21.11703316,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K11,8,12.756819,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K12,1,10.83464208,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K12,2,16.75901788,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K12,3,16.5625905,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
Kup,0,T1,K12,4,7.42896284,days post fert = 0 is duplicated for each Treatment. D0 was prior to assigning Treatments so all the same for all treatments.
