date,Treatment,fam.for.sorting,indiv.1to15,disposition,experiment,,checked.HG,,,
6/13/17,na,K01,6,ethanol,yolksac,,x,,,
6/13/17,na,K03,8,ethanol,yolksac,,x,,,
6/13/17,na,K04,10,ethanol,yolksac,,x,,,
6/13/17,na,K05,7,ethanol,yolksac,,x,,,
6/13/17,na,K06,7,ethanol,yolksac,,x,,,
6/13/17,na,K07,7,ethanol,yolksac,,x,,,
6/13/17,na,K08,10,ethanol,yolksac,,x,,,
6/13/17,na,K09,8,ethanol,yolksac,,x,,,
6/13/17,na,K10,8,ethanol,yolksac,,x,,,
6/13/17,na,K11,8,ethanol,yolksac,,x,,,
6/13/17,na,K12,9,ethanol,yolksac,,x,,,
6/13/17,na,K13,9,ethanol,yolksac,,x,,,
6/13/17,na,K14,9,ethanol,yolksac,,x,,,
6/13/17,na,K15,8,ethanol,yolksac,,x,,,
6/13/17,na,K16,9,ethanol,yolksac,,x,,,
6/15/17,na,O02,9,ethanol,yolksac,,x,,,
6/15/17,na,O03,34,ethanol,yolksac,,x,,,
6/15/17,na,O05,10,ethanol,yolksac,,x,,,
6/18/17,T1,K01,5,ethanol,yolksac,,x,,,
6/18/17,T1,K02,4,ethanol,yolksac,,x,,,
6/18/17,T1,K03,5,ethanol,yolksac,,x,,,
6/18/17,T1,K04,5,ethanol,yolksac,,x,,,
6/18/17,T1,K05,1,ethanol,yolksac,,x,,,
6/18/17,T1,K06,5,ethanol,yolksac,,x,,,
6/18/17,T1,K07,4,ethanol,yolksac,,x,,,
6/18/17,T1,K08,4,ethanol,yolksac,,x,,,
6/18/17,T1,K09,5,ethanol,yolksac,,x,,,
6/18/17,T1,K10,5,ethanol,yolksac,,x,,,
6/18/17,T1,K11,5,ethanol,yolksac,,x,,,
6/18/17,T1,K12,5,ethanol,yolksac,,x,,,
6/18/17,T1,K13,5,ethanol,yolksac,,x,,,
6/18/17,T1,K14,5,ethanol,yolksac,,x,,,
6/18/17,T1,K15,5,ethanol,yolksac,,x,,,
6/18/17,T1,K16,5,ethanol,yolksac,,x,,,
6/18/17,T2,K01,9,ethanol,yolksac,,x,,,
6/18/17,T2,K02,10,ethanol,yolksac,,x,,,
6/18/17,T2,K03,10,ethanol,yolksac,,x,,,
6/18/17,T2,K04,10,ethanol,yolksac,,x,,,
6/18/17,T2,K05,5,ethanol,yolksac,,x,,,
6/18/17,T2,K06,2,ethanol,yolksac,,x,,,
6/18/17,T2,K07,5,ethanol,yolksac,,x,,,
6/18/17,T2,K08,5,ethanol,yolksac,,x,,,
6/18/17,T2,K09,5,ethanol,yolksac,,x,,,
6/18/17,T2,K10,5,ethanol,yolksac,,x,,,
6/18/17,T2,K11,5,ethanol,yolksac,,x,,,
6/18/17,T2,K12,5,ethanol,yolksac,,x,,,
6/18/17,T2,K13,5,ethanol,yolksac,,x,,,
6/18/17,T2,K14,5,ethanol,yolksac,,x,,,
6/18/17,T2,K15,5,ethanol,yolksac,,x,,,
6/18/17,T2,K16,5,ethanol,yolksac,,x,,,
6/18/17,T3,K01,6,ethanol,yolksac,,x,,,
6/18/17,T3,K02,5,ethanol,yolksac,,x,,,
6/18/17,T3,K03,5,ethanol,yolksac,,x,,,
6/18/17,T3,K04,5,ethanol,yolksac,,x,,,
6/18/17,T3,K05,5,ethanol,yolksac,,x,,,
6/18/17,T3,K06,1,ethanol,yolksac,,x,,,
6/18/17,T3,K07,5,ethanol,yolksac,,x,,,
6/18/17,T3,K08,5,ethanol,yolksac,,x,,,
6/18/17,T3,K09,5,ethanol,yolksac,,x,,,
6/18/17,T3,K10,3,ethanol,yolksac,,x,,,
6/18/17,T3,K11,5,ethanol,yolksac,,x,,,
6/18/17,T3,K12,5,ethanol,yolksac,,x,,,
6/18/17,T3,K13,5,ethanol,yolksac,,x,,,
6/18/17,T3,K14,5,ethanol,yolksac,,x,,,
6/18/17,T3,K15,6,ethanol,yolksac,,x,,,
6/18/17,T3,K16,5,ethanol,yolksac,,x,,,
6/19/17,T1,O01,5,ethanol,yolksac,,x,,,
6/19/17,T1,O02,5,ethanol,yolksac,,x,,,
6/19/17,T1,O04,5,ethanol,yolksac,,x,,,
6/19/17,T1,O05,3,ethanol,yolksac,,x,,,
6/19/17,T1,O06,5,ethanol,yolksac,,x,,,
6/19/17,T2,O01,5,ethanol,yolksac,,x,,,
6/19/17,T2,O02,5,ethanol,yolksac,,x,,,
6/19/17,T2,O04,5,ethanol,yolksac,,x,,,
6/19/17,T2,O05,2,ethanol,yolksac,,x,,,
6/19/17,T2,O06,5,ethanol,yolksac,,x,,,
6/19/17,T3,O01,5,ethanol,yolksac,,x,,,
6/19/17,T3,O02,5,ethanol,yolksac,,x,,,
6/19/17,T3,O04,5,ethanol,yolksac,,x,,,
6/19/17,T3,O06,5,ethanol,yolksac,,x,,,
6/23/17,T1,K01,10,ethanol,yolksac,,x,,,
6/23/17,T1,K02,10,ethanol,yolksac,,x,,,
6/23/17,T1,K03,10,ethanol,yolksac,,x,,,
6/23/17,T1,K04,9,ethanol,yolksac,,x,,,
6/23/17,T1,K05,5,ethanol,yolksac,,x,,,
6/23/17,T1,K06,5,ethanol,yolksac,,x,,,
6/23/17,T1,K07,10,ethanol,yolksac,,x,,,
6/23/17,T1,K08,10,ethanol,yolksac,,x,,,
6/23/17,T1,K09,11,ethanol,yolksac,,x,,,
6/23/17,T1,K10,10,ethanol,yolksac,,x,,,
6/23/17,T1,K11,10,ethanol,yolksac,,x,,,
6/23/17,T1,K12,10,ethanol,yolksac,,x,,,
6/23/17,T1,K13,10,ethanol,yolksac,,x,,,
6/23/17,T1,K14,10,ethanol,yolksac,,x,,,
6/23/17,T1,K15,10,ethanol,yolksac,,x,,,
6/23/17,T1,K16,10,ethanol,yolksac,,x,,,
6/23/17,T1,O01,10,ethanol,yolksac,,x,,,
6/23/17,T1,O02,10,ethanol,yolksac,,x,,,
6/23/17,T1,O04,10,ethanol,yolksac,,x,,,
6/23/17,T1,O05,2,ethanol,yolksac,,x,,,
6/23/17,T1,O06,10,ethanol,yolksac,,x,,,
6/23/17,T2,K01,9,ethanol,yolksac,,x,,,
6/23/17,T2,K02,9,ethanol,yolksac,,x,,,
6/23/17,T2,K03,10,ethanol,yolksac,,x,,,
6/23/17,T2,K04,11,ethanol,yolksac,,x,,,
6/23/17,T2,K05,10,ethanol,yolksac,,x,,,
6/23/17,T2,K06,5,ethanol,yolksac,,x,,,
6/23/17,T2,K07,10,ethanol,yolksac,,x,,,
6/23/17,T2,K08,10,ethanol,yolksac,,x,,,
6/23/17,T2,K09,10,ethanol,yolksac,,x,,,
6/23/17,T2,K10,10,ethanol,yolksac,,x,,,
6/23/17,T2,K11,10,ethanol,yolksac,,x,,,
6/23/17,T2,K12,10,ethanol,yolksac,,x,,,
6/23/17,T2,K13,10,ethanol,yolksac,,x,,,
6/23/17,T2,K14,10,ethanol,yolksac,,x,,,
6/23/17,T2,K15,10,ethanol,yolksac,,x,,,
6/23/17,T2,K16,10,ethanol,yolksac,,x,,,
6/23/17,T2,O01,10,ethanol,yolksac,,x,,,
6/23/17,T2,O02,10,ethanol,yolksac,,x,,,
6/23/17,T2,O04,5,ethanol,yolksac,,x,,,
6/23/17,T2,O05,5,ethanol,yolksac,,x,,,
6/23/17,T2,O06,10,ethanol,yolksac,,x,,,
6/23/17,T3,K01,9,ethanol,yolksac,,x,,,
6/23/17,T3,K02,5,ethanol,yolksac,,x,,,
6/23/17,T3,K03,10,ethanol,yolksac,,x,,,
6/23/17,T3,K04,9,ethanol,yolksac,,x,,,
6/23/17,T3,K05,9,ethanol,yolksac,,x,,,
6/23/17,T3,K06,4,ethanol,yolksac,,x,,,
6/23/17,T3,K08,8,ethanol,yolksac,,x,,,
6/23/17,T3,K09,10,ethanol,yolksac,,x,,,
6/23/17,T3,K10,9,ethanol,yolksac,,x,,,
6/23/17,T3,K11,9,ethanol,yolksac,,x,,,
6/23/17,T3,K12,10,ethanol,yolksac,,x,,,
6/23/17,T3,K13,20,ethanol,yolksac,,x,,,
6/23/17,T3,K14,10,ethanol,yolksac,,x,,,
6/23/17,T3,K15,8,ethanol,yolksac,,x,,,
6/23/17,T3,K16,10,ethanol,yolksac,,x,,,
6/23/17,T3,O01,10,ethanol,yolksac,,x,,,
6/23/17,T3,O04,4,ethanol,yolksac,,x,,,
6/28/17,T1,K01,10,ethanol,yolksac,,,,,
6/28/17,T1,K02,10,ethanol,yolksac,,,,,
6/28/17,T1,K03,10,ethanol,yolksac,,,,,
6/28/17,T1,K04,10,ethanol,yolksac,,,,,
6/28/17,T1,K05,10,ethanol,yolksac,,,,,
6/28/17,T1,K06,5,ethanol,yolksac,,,,,
6/28/17,T1,K07,10,ethanol,yolksac,,,,,
6/28/17,T1,K08,10,ethanol,yolksac,,,,,
6/28/17,T1,K09,11,ethanol,yolksac,,,,,
6/28/17,T1,K10,10,ethanol,yolksac,,,,,
6/28/17,T1,K11,10,ethanol,yolksac,,,,,
6/28/17,T1,K13,10,ethanol,yolksac,,,,,
6/28/17,T1,K14,10,ethanol,yolksac,,,,,
6/28/17,T1,K15,10,ethanol,yolksac,,,,,
6/28/17,T1,K16,10,ethanol,yolksac,,,,,
6/28/17,T1,O06,9,ethanol,yolksac,,,,,
6/28/17,T2,K01,10,live,growth,,,,,
6/28/17,T2,K01,11,ethanol,yolksac,,,,,
6/28/17,T2,K02,1,ethanol,growth,,,,,
6/28/17,T2,K02,10,live,growth,,,,,
6/28/17,T2,K02,9,ethanol,yolksac,,,,,
6/28/17,T2,K03,10,live,growth,,,,,
6/28/17,T2,K04,10,live,growth,,,,,
6/28/17,T2,K05,10,live,growth,,,,,
6/28/17,T2,K05,10,live,NA,,,,,
6/28/17,T2,K07,10,live,growth,,,,,
6/28/17,T2,K07,10,live,NA,,,,,
6/28/17,T2,K08,10,live,growth,,,,,
6/28/17,T2,K08,10,live,NA,,,,,
6/28/17,T2,K11,10,live,NA,,,,,
6/28/17,T2,O01,10,live,growth,,,,,
6/28/17,T2,O01,10,ethanol,yolksac,,,,,
6/28/17,T2,O02,10,ethanol,yolksac,,,,,
6/28/17,T2,O04,9,ethanol,yolksac,,,,,
6/28/17,T2,O05,3,ethanol,yolksac,,,,,
6/28/17,T2,O06,10,ethanol,yolksac,,,,,
6/28/17,T3,K02,10,live,NA,,,,,
6/28/17,T3,K10,10,live,NA,,,,,
6/28/17,T3,O01,10,live,growth,,,,,
6/28/17,T3,O02,10,live,growth,,,,,
7/3/17,T1,K01,9,ethanol,yolksac,,,,,
7/3/17,T1,K02,10,ethanol,yolksac,,,,,
7/3/17,T1,K03,10,ethanol,yolksac,,,,,
7/3/17,T1,K04,10,ethanol,yolksac,,,,,
7/3/17,T1,K05,10,ethanol,yolksac,,,,,
7/3/17,T1,K06,2,ethanol,yolksac,,,,,
7/3/17,T1,K07,10,ethanol,yolksac,,,,,
7/3/17,T1,K08,10,ethanol,yolksac,,,,,
7/3/17,T1,K09,10,ethanol,yolksac,,,,,
7/3/17,T1,K10,10,ethanol,yolksac,,,,,
7/3/17,T1,K11,10,ethanol,yolksac,,,,,
7/3/17,T1,K12,10,ethanol,yolksac,,,,,
7/3/17,T1,K13,10,ethanol,yolksac,,,,,
7/3/17,T1,K14,10,ethanol,yolksac,,,,,
7/3/17,T1,K15,11,ethanol,yolksac,,,,,
7/3/17,T1,K16,6,live,growth,,,,,
7/3/17,T1,K16,10,ethanol,yolksac,,,,,
7/3/17,T2,K01,10,ethanol,growth,,,,,
7/3/17,T2,K02,10,ethanol,growth,,,,,
7/3/17,T2,K03,11,ethanol,growth,,,,,
7/3/17,T2,K03,11,live,growth,,,,,
7/3/17,T2,K04,10,ethanol,growth,,,,,
7/3/17,T2,K05,10,ethanol,growth,,,,,
7/3/17,T2,K07,10,ethanol,growth,,,,,
7/3/17,T2,K08,10,ethanol,growth,,,,,
7/3/17,T2,K08,9,live,growth,,,,,
7/3/17,T2,K09,10,ethanol,growth,,,,,
7/3/17,T2,K10,10,ethanol,growth,,,,,
7/3/17,T2,K11,9,ethanol,growth,,,,,
7/3/17,T2,K12,10,ethanol,growth,,,,,
7/3/17,T2,K13,10,ethanol,growth,,,,,
7/3/17,T2,K14,10,ethanol,growth,,,,,
7/3/17,T2,K15,10,ethanol,growth,,,,,
7/3/17,T2,K16,10,ethanol,growth,,,,,
7/3/17,T3,K01,7,live,growth,,,,,
7/3/17,T3,K04,11,ethanol,growth,,,,,
7/3/17,T3,K05,13,live,growth,,,,,
7/3/17,T3,K07,10,ethanol,growth,,,,,
7/3/17,T3,K08,10,ethanol,growth,,,,,
7/3/17,T3,K16,5,ethanol,growth,,,,,
7/3/17,T3,K16,10,live,growth,,,,,
7/4/17,T1,O01,10,ethanol,yolksac,,,,,
7/4/17,T1,O02,11,ethanol,yolksac,,,,,
7/4/17,T1,O04,10,ethanol,yolksac,,,,,
7/4/17,T1,O05,3,ethanol,yolksac,,,,,
