date,location,days.post.fert,Treatment,family,indiv.1to15,ImageJ_num,Length.mm,yolk.sac.length,yolk.sac.height,yolk.sac.volume,disposition,reared.wild,measure.type,file.name,original name (from Dropbox),measured.by,duplicate.to.remove,live-eth.test,initial.postfert,yolk.vol,growth,ln.at.hatch,ln.at.swimup,respiration,eyed,experiment
,Kup,15,T1,K16,1,1,,2.663,2.499,8.707669443,ethanol,reared,ImageJ,CG_15_T1_K16.jpg,,HG 2022,,,no,yes,no,no,no,no,,
,Kup,15,T1,K16,2,2,,2.621,2.502,8.5909242,ethanol,reared,ImageJ,CG_D15_T1_K16.jpg,,HG 2022,,,no,yes,no,no,no,no,,
,Kup,15,T1,K16,3,3,,2.744,2.621,9.869982995,ethanol,reared,ImageJ,CG_D15_T1_K16.jpg,,HG 2022,,,no,yes,no,no,no,no,,
,Kup,15,T1,K16,4,4,,2.62,2.458,8.288258809,ethanol,reared,ImageJ,CG_D15_T1_K16.jpg,,HG 2022,,,no,yes,no,no,no,no,,
,Kup,15,T1,K16,5,5,,2.786,2.29,7.649804427,ethanol,reared,ImageJ,CG_D15_T1_K16.jpg,,HG 2022,,,no,yes,no,no,no,no,,
,Kup,15,T1,K16,6,6,,2.702,2.456,8.533758041,ethanol,reared,ImageJ,CG_D15_T1_K16.jpg,,HG 2022,,,no,yes,no,no,no,no,,
,Kup,15,T1,K16,7,7,,2.5,2.463,7.940851744,ethanol,reared,ImageJ,CG_D15_T1_K16.jpg,,HG 2022,,,no,yes,no,no,no,no,,
,Kup,15,T1,K16,8,8,,2.872,2.78,11.62177018,ethanol,reared,ImageJ,CG_D15_T1_K16.jpg,,HG 2022,,,no,yes,no,no,no,no,,
,Kup,15,T1,K16,9,9,,2.293,2.208,5.853295481,ethanol,reared,ImageJ,CG_D15_T1_K16.jpg,,HG 2022,,,no,yes,no,no,no,no,,
,Kup,15,T1,K16,10,10,,3.075,2.54,10.38749455,ethanol,reared,ImageJ,CG_D15_T1_K16.jpg,,HG 2022,,,no,yes,no,no,no,no,,
,Kup,15,T1,K15,1,1,,2.904,2.835,12.22083819,ethanol,reared,ImageJ,CG_D15_T1_K15.jpg,,HG 2022,,,no,yes,no,no,no,no,,
,Kup,15,T1,K15,2,2,,2.916,2.788,11.86782993,ethanol,reared,ImageJ,CG_D15_T1_K15.jpg,,HG 2022,,,no,yes,no,no,no,no,,
,Kup,15,T1,K15,3,3,,3.114,2.828,13.03994243,ethanol,reared,ImageJ,CG_D15_T1_K15.jpg,,HG 2022,,,no,yes,no,no,no,no,,
,Kup,15,T1,K15,4,4,,3.158,3.075,15.63509849,ethanol,reared,ImageJ,CG_D15_T1_K15.jpg,,HG 2022,,,no,yes,no,no,no,no,,
,Kup,15,T1,K15,5,5,,3.076,2.953,14.0446681,ethanol,reared,ImageJ,CG_D15_T1_K15.jpg,,HG 2022,,,no,yes,no,no,no,no,,
,Kup,15,T1,K15,6,6,,2.952,2.792,12.04884553,ethanol,reared,ImageJ,CG_D15_T1_K15.jpg,,HG 2022,,,no,yes,no,no,no,no,,
