"","location","alt.dpf","Treatment","family","adj_Length","minimum","maximum","n","v","se","na.rm","days.post.fert"
"1","Kup",25,"T1","K1",11.7616,11.216,12.007,5,0.1058963,0.145530958905657,1,25
"2","Kup",25,"T1","K10",11.0973333333333,10.115,11.888,6,0.419835866666667,0.264523428914046,1,25
"3","Kup",25,"T1","K11",11.1754,10.554,12.101,5,0.4033213,0.284014541881221,1,25
"4","Kup",25,"T1","K12",10.4254,9.71,11.184,5,0.3824753,0.276577403270766,1,25
"5","Kup",25,"T1","K13",11.1126,9.401,12.195,5,1.0801203,0.464783885262818,1,25
"6","Kup",25,"T1","K14",12.0852,11.643,12.908,5,0.2475717,0.222518179032635,1,25
"7","Kup",25,"T1","K15",10.8274,10.383,11.376,5,0.1345153,0.164021522977931,1,25
"8","Kup",25,"T1","K16",11.3184,10.917,11.779,5,0.0989568,0.140681768541627,1,25
"9","Kup",25,"T1","K2",11.323,11.114,11.504,5,0.031462,0.0793246493846647,1,25
"10","Kup",25,"T1","K3",12.2324,10.971,13.31,5,0.8685153,0.416776990727655,1,25
"11","Kup",25,"T1","K4",11.7496,11.308,12.034,5,0.0755123000000001,0.122892066464846,1,25
"12","Kup",25,"T1","K5",12.1168,11.59,12.353,5,0.0938312,0.136989926636961,1,25
"13","Kup",25,"T1","K6",8.90022,8.05392,9.74652,2,1.43244738,0.8463,1,25
"14","Kup",25,"T1","K7",11.6982,11.34,12.121,5,0.1124357,0.149957127206412,1,25
"15","Kup",25,"T1","K8",12.0716666666667,12.006,12.176,3,0.00834633333333335,0.0527457212588009,1,25
"16","Kup",25,"T1","K9",10.869,10.5,11.562,5,0.1721385,0.185547029078883,1,25
"17","Kup",25,"T2","K1",15.870288,14.44212,16.67568,5,0.737575816320001,0.384077027774378,1,25
"18","Kup",25,"T2","K10",15.61056,15.36948,16.16748,6,0.0804889209600004,0.115822364679711,1,25
"19","Kup",25,"T2","K11",14.404152,13.20648,16.1196,5,1.18376409312,0.486572521443618,1,25
