"","location","alt.dpf","Treatment","family","indiv.1to15","adj_Length"
"180","Kup",25,"T1","K1",1,"11.728"
"181","Kup",25,"T1","K1",2,"11.995"
"182","Kup",25,"T1","K1",3,"11.216"
"183","Kup",25,"T1","K1",4,"11.862"
"184","Kup",25,"T1","K1",5,"12.007"
"185","Kup",30,"T1","K1",1,"11.853"
"186","Kup",30,"T1","K1",2,"12.956"
"187","Kup",30,"T1","K1",3,"12.772"
"188","Kup",30,"T1","K1",4,"13.282"
"189","Kup",30,"T1","K1",5,"13.313"
"190","Kup",30,"T1","K1",6,"13.753"
"191","Kup",30,"T1","K1",7,"10.772"
"192","Kup",30,"T1","K1",8,"13.635"
"193","Kup",30,"T1","K1",9,"12.67"
"194","Kup",30,"T1","K1",10,"12.677"
"195","Kup",35,"T1","K1",1,"14.837"
"196","Kup",35,"T1","K1",2,"16.156"
"197","Kup",35,"T1","K1",3,"15.078"
"198","Kup",35,"T1","K1",4,"15.451"
"199","Kup",35,"T1","K1",5,"15.884"
"200","Kup",35,"T1","K1",6,"14.954"
"201","Kup",35,"T1","K1",7,"15.638"
"202","Kup",35,"T1","K1",8,"15.793"
"203","Kup",35,"T1","K1",9,"15.623"
"204","Kup",35,"T1","K1",10,"15.903"
"205","Kup",40,"T1","K1",1,"15.755"
"206","Kup",40,"T1","K1",2,"16.862"
"207","Kup",40,"T1","K1",3,"17.268"
"208","Kup",40,"T1","K1",4,"15.712"
"209","Kup",40,"T1","K1",5,"16.418"
"210","Kup",40,"T1","K1",6,"15.636"
"211","Kup",40,"T1","K1",7,"15.917"
"212","Kup",40,"T1","K1",8,"15.362"
"213","Kup",40,"T1","K1",9,"15.954"
"214","Kup",40,"T1","K1",10,"16.505"
"278","Kup",25,"T1","K10",1,"10.78"
"279","Kup",25,"T1","K10",2,"11.888"
"280","Kup",25,"T1","K10",3,"11.371"
"281","Kup",25,"T1","K10",4,"11.606"
"282","Kup",25,"T1","K10",5,"10.115"
"283","Kup",25,"T1","K10",6,"10.824"
"284","Kup",35,"T1","K10",1,"12.525"
"285","Kup",35,"T1","K10",2,"12.104"
"286","Kup",35,"T1","K10",3,"13.191"
"287","Kup",35,"T1","K10",4,"11.759"
"288","Kup",35,"T1","K10",5,"13.486"
"289","Kup",35,"T1","K10",6,"13.18"
"290","Kup",35,"T1","K10",7,"14.389"
"291","Kup",35,"T1","K10",8,"13.332"
"292","Kup",35,"T1","K10",9,"13.076"
"293","Kup",35,"T1","K10",10,"12.44"
"294","Kup",40,"T1","K10",1,"15.255"
"295","Kup",40,"T1","K10",2,"13.811"
"296","Kup",40,"T1","K10",3,"14.595"
"297","Kup",40,"T1","K10",4,"13.293"
"298","Kup",40,"T1","K10",5,"13.812"
"299","Kup",40,"T1","K10",6,"15.23"
"300","Kup",40,"T1","K10",7,"15.35"
"301","Kup",40,"T1","K10",8,"14.017"
"302","Kup",40,"T1","K10",9,"15.37"
"303","Kup",40,"T1","K10",10,"14.999"
"363","Kup",25,"T1","K11",1,"12.101"
"364","Kup",25,"T1","K11",2,"10.554"
"365","Kup",25,"T1","K11",3,"11.412"
"366","Kup",25,"T1","K11",4,"11.195"
"367","Kup",25,"T1","K11",5,"10.615"
"368","Kup",30,"T1","K11",1,"11.22"
"369","Kup",30,"T1","K11",2,"13.509"
"370","Kup",30,"T1","K11",3,"11.368"
"371","Kup",30,"T1","K11",4,"13.145"
"372","Kup",30,"T1","K11",5,"12.833"
"373","Kup",30,"T1","K11",6,"11.288"
"374","Kup",30,"T1","K11",7,"12.866"
"375","Kup",30,"T1","K11",8,"12.666"
"376","Kup",30,"T1","K11",9,"11.953"
"377","Kup",30,"T1","K11",10,"11.364"
"378","Kup",35,"T1","K11",1,"13.632"
"379","Kup",35,"T1","K11",2,"13.305"
"380","Kup",35,"T1","K11",3,"11.705"
"381","Kup",35,"T1","K11",4,"13.401"
"382","Kup",35,"T1","K11",5,"12.958"
"383","Kup",35,"T1","K11",6,"13.26"
"384","Kup",35,"T1","K11",7,"13.425"
"385","Kup",35,"T1","K11",8,"13.217"
"386","Kup",35,"T1","K11",9,"13.884"
"387","Kup",35,"T1","K11",10,"12.532"
"388","Kup",40,"T1","K11",1,"13.19"
"389","Kup",40,"T1","K11",2,"14.65"
"390","Kup",40,"T1","K11",3,"16.305"
"391","Kup",40,"T1","K11",4,"16.673"
"392","Kup",40,"T1","K11",5,"15.958"
"393","Kup",40,"T1","K11",6,"16.697"
"394","Kup",40,"T1","K11",7,"16.431"
"395","Kup",40,"T1","K11",8,"15.097"
"396","Kup",40,"T1","K11",9,"16.2"
"397","Kup",40,"T1","K11",10,"15.271"
"447","Kup",25,"T1","K12",1,"10.093"
"448","Kup",25,"T1","K12",2,"10.951"
"449","Kup",25,"T1","K12",3,"11.184"
"450","Kup",25,"T1","K12",4,"10.189"
"451","Kup",25,"T1","K12",5,"9.71"
"452","Kup",30,"T1","K12",1,"9.68"
"453","Kup",30,"T1","K12",2,"11.255"
"454","Kup",30,"T1","K12",3,"12.366"
"455","Kup",30,"T1","K12",4,"11.956"
"456","Kup",30,"T1","K12",5,"11.522"
"457","Kup",30,"T1","K12",6,"10.339"
"458","Kup",30,"T1","K12",7,"11.178"
"459","Kup",30,"T1","K12",8,"11.304"
"460","Kup",30,"T1","K12",9,"12.714"
"461","Kup",30,"T1","K12",10,"12.316"
"462","Kup",35,"T1","K12",1,"11.298"
"463","Kup",35,"T1","K12",2,"12.5748"
"464","Kup",35,"T1","K12",3,"11.4744"
"465","Kup",35,"T1","K12",4,"11.5668"
"466","Kup",35,"T1","K12",5,"13.5744"
"467","Kup",35,"T1","K12",6,"13.9944"
"468","Kup",35,"T1","K12",7,"11.802"
"469","Kup",35,"T1","K12",8,"12.2976"
"470","Kup",35,"T1","K12",9,"13.5492"
"471","Kup",40,"T1","K12",1,"14.078"
"472","Kup",40,"T1","K12",2,"14.173"
"473","Kup",40,"T1","K12",3,"14.324"
"474","Kup",40,"T1","K12",4,"16.354"
"475","Kup",40,"T1","K12",5,"15.443"
"476","Kup",40,"T1","K12",6,"12.556"
"477","Kup",40,"T1","K12",7,"14.843"
"478","Kup",40,"T1","K12",8,"14.864"
"479","Kup",40,"T1","K12",9,"15.307"
"480","Kup",40,"T1","K12",10,"15.152"
"545","Kup",25,"T1","K13",1,"9.401"
"546","Kup",25,"T1","K13",2,"11.495"
"547","Kup",25,"T1","K13",3,"11.09"
"548","Kup",25,"T1","K13",4,"11.382"
"549","Kup",25,"T1","K13",5,"12.195"
"550","Kup",30,"T1","K13",1,"12.827"
"551","Kup",30,"T1","K13",2,"13.148"
"552","Kup",30,"T1","K13",3,"13.556"
"553","Kup",30,"T1","K13",4,"12.827"
"554","Kup",30,"T1","K13",5,"12.18"
"555","Kup",30,"T1","K13",6,"13.137"
"556","Kup",30,"T1","K13",7,"13.377"
"557","Kup",30,"T1","K13",8,"12.783"
"558","Kup",30,"T1","K13",9,"13.337"
"559","Kup",30,"T1","K13",10,"10.844"
"560","Kup",35,"T1","K13",1,"13.883"
"561","Kup",35,"T1","K13",2,"14.181"
"562","Kup",35,"T1","K13",3,"13.659"
"563","Kup",35,"T1","K13",4,"14.031"
"564","Kup",35,"T1","K13",5,"13.666"
"565","Kup",35,"T1","K13",6,"13.775"
"566","Kup",35,"T1","K13",7,"13.804"
"567","Kup",35,"T1","K13",8,"13.378"
"568","Kup",35,"T1","K13",9,"13.464"
"569","Kup",35,"T1","K13",10,"13.17"
"570","Kup",40,"T1","K13",1,"15.006"
"571","Kup",40,"T1","K13",2,"15.424"
"572","Kup",40,"T1","K13",3,"14.944"
"573","Kup",40,"T1","K13",4,"15.251"
"574","Kup",40,"T1","K13",5,"15.011"
"575","Kup",40,"T1","K13",6,"16.651"
"576","Kup",40,"T1","K13",7,"13.791"
"577","Kup",40,"T1","K13",8,"14.728"
"578","Kup",40,"T1","K13",9,"15.855"
"579","Kup",40,"T1","K13",10,"16.117"
"636","Kup",25,"T1","K14",1,"12.908"
"637","Kup",25,"T1","K14",2,"11.928"
"638","Kup",25,"T1","K14",3,"11.643"
"639","Kup",25,"T1","K14",4,"11.789"
"640","Kup",25,"T1","K14",5,"12.158"
"641","Kup",30,"T1","K14",1,"13.716"
"642","Kup",30,"T1","K14",2,"13.728"
"643","Kup",30,"T1","K14",3,"14.563"
"644","Kup",30,"T1","K14",4,"15.409"
"645","Kup",30,"T1","K14",5,"14.16"
"646","Kup",30,"T1","K14",6,"14.951"
"647","Kup",30,"T1","K14",7,"14.077"
"648","Kup",30,"T1","K14",8,"14.864"
"649","Kup",30,"T1","K14",9,"11.902"
"650","Kup",30,"T1","K14",10,"13.642"
"651","Kup",35,"T1","K14",1,"14.531"
"652","Kup",35,"T1","K14",2,"14.451"
"653","Kup",35,"T1","K14",3,"14.198"
"654","Kup",35,"T1","K14",4,"14.338"
"655","Kup",35,"T1","K14",5,"13.807"
"656","Kup",35,"T1","K14",6,"13.942"
"657","Kup",35,"T1","K14",7,"14.48"
"658","Kup",35,"T1","K14",8,"13.824"
"659","Kup",35,"T1","K14",9,"14.188"
"660","Kup",35,"T1","K14",10,"14.889"
"661","Kup",40,"T1","K14",1,"16.628"
"662","Kup",40,"T1","K14",2,"15.93"
"663","Kup",40,"T1","K14",3,"15.427"
"664","Kup",40,"T1","K14",4,"17.542"
"665","Kup",40,"T1","K14",5,"15.738"
"666","Kup",40,"T1","K14",6,"16.165"
"667","Kup",40,"T1","K14",7,"15.39"
"668","Kup",40,"T1","K14",8,"15.541"
"669","Kup",40,"T1","K14",9,"15.783"
"670","Kup",40,"T1","K14",10,"17.122"
"726","Kup",25,"T1","K15",1,"10.383"
"727","Kup",25,"T1","K15",2,"11.376"
"728","Kup",25,"T1","K15",3,"10.907"
"729","Kup",25,"T1","K15",4,"10.645"
"730","Kup",25,"T1","K15",5,"10.826"
"731","Kup",35,"T1","K15",1,"13.992"
"732","Kup",35,"T1","K15",2,"14.055"
"733","Kup",35,"T1","K15",3,"13.622"
"734","Kup",35,"T1","K15",4,"14.467"
"735","Kup",35,"T1","K15",5,"14.705"
"736","Kup",35,"T1","K15",6,"14.401"
"737","Kup",35,"T1","K15",7,"14.614"
"738","Kup",35,"T1","K15",8,"14.159"
"739","Kup",35,"T1","K15",9,"12.309"
"740","Kup",35,"T1","K15",10,"13.779"
"741","Kup",40,"T1","K15",1,"16.381"
