length,yolk_vol,animal,sire,dam,treatment,population,z_length,z_yolk_vol
10.965,5.621404858,T1_K001_1,k003,K001,T1,Kup,0.514672686,1.550377323
10.778,,T1_K001_10,k003,K001,T1,Kup,0.303611738,
10.617,3.082289716,T1_K001_11,k003,K001,T1,Kup,0.121896163,-0.347317103
9.86,4.70626184,T1_K001_12,k003,K001,T1,Kup,-0.732505643,0.866413931
9.991,4.96438291,T1_K001_2,k003,K001,T1,Kup,-0.584650113,1.059329529
10.24,4.792492885,T1_K001_3,k003,K001,T1,Kup,-0.303611738,0.930861648
10.75,4.384206586,T1_K001_4,k003,K001,T1,Kup,0.272009029,0.625714937
11.048,3.991263283,T1_K001_5,k003,K001,T1,Kup,0.608352144,0.332035339
9.822,3.883371864,T1_K001_6,k003,K001,T1,Kup,-0.775395034,0.251399001
10.574,6.4216014,T1_K001_7,k003,K001,T1,Kup,0.073363431,2.14843154
9.606,4.76590878,T1_K001_8,k003,K001,T1,Kup,-1.019187359,0.910993109
10.889,4.452201461,T1_K001_9,k003,K001,T1,Kup,0.428893905,0.676533229
11.393,2.526495191,T1_K002_1,k003,K002,T1,Kup,0.997742664,-0.762709125
8.883,4.687203904,T1_K002_10,k003,K002,T1,Kup,-1.835214447,0.852170332
9.081,5.11877981,T1_K002_2,k003,K002,T1,Kup,-1.611738149,1.174723326
9.974,3.240483349,T1_K002_3,k003,K002,T1,Kup,-0.603837472,-0.229085688
10.261,2.880120358,T1_K002_4,k003,K002,T1,Kup,-0.279909707,-0.498415278
10.779,2.498182584,T1_K002_5,k003,K002,T1,Kup,0.304740406,-0.783869519
9.489,4.315502959,T1_K002_6,k003,K002,T1,Kup,-1.151241535,0.574366935
9.918,4.004219563,T1_K002_7,k003,K002,T1,Kup,-0.667042889,0.341718657
10.046,,T1_K002_8,k003,K002,T1,Kup,-0.522573363,
9.94,4.336843581,T1_K002_9,k003,K002,T1,Kup,-0.64221219,0.590316578
9.671,3.862418605,T1_K004_1,k006,K004,T1,Kup,-0.945823928,0.235738868
10.655,3.811001522,T1_K004_10,k006,K004,T1,Kup,0.164785553,0.197310555
10.346,4.39783905,T1_K004_2,k006,K004,T1,Kup,-0.183972912,0.635903625
10.462,4.062358693,T1_K004_3,k006,K004,T1,Kup,-0.053047404,0.385170922
10.814,4.50999024,T1_K004_4,k006,K004,T1,Kup,0.344243792,0.719723647
10.886,3.873014984,T1_K004_5,k006,K004,T1,Kup,0.425507901,0.243658433
10.9,4.045168059,T1_K004_6,k006,K004,T1,Kup,0.441309255,0.372322914
10.631,3.766545242,T1_K004_7,k006,K004,T1,Kup,0.137697517,0.164084635
10.664,4.567383971,T1_K004_8,k006,K004,T1,Kup,0.174943567,0.762618812
10.815,3.823950878,T1_K004_9,k006,K004,T1,Kup,0.34537246,0.206988698
9.49,3.257278164,T1_K005_1,k006,K005,T1,Kup,-1.150112867,-0.21653351
11.114,2.26379519,T1_K005_10,k006,K005,T1,Kup,0.682844244,-0.959046943
10.972,2.123469143,T1_K005_2,k006,K005,T1,Kup,0.522573363,-1.063924407
10.406,2.890277444,T1_K005_3,k006,K005,T1,Kup,-0.116252822,-0.490824033
10.669,3.660676519,T1_K005_4,k006,K005,T1,Kup,0.180586907,0.084960029
10.875,1.910475448,T1_K005_5,k006,K005,T1,Kup,0.413092551,-1.22311252
9.723,3.445677712,T1_K005_6,k006,K005,T1,Kup,-0.887133183,-0.075726673
9.983,3.362235578,T1_K005_7,k006,K005,T1,Kup,-0.593679458,-0.138090001
9.827,3.613649634,T1_K005_8,k006,K005,T1,Kup,-0.769751693,0.04981288
9.35,2.643080528,T1_K005_9,k006,K005,T1,Kup,-1.308126411,-0.675575091
11.484,2.738626163,T1_K007_1,k009,K007,T1,Kup,1.100451467,-0.604165797
10.238,4.31330367,T1_K007_2,k009,K007,T1,Kup,-0.305869074,0.572723221
11.053,2.395491644,T1_K007_3,k009,K007,T1,Kup,0.613995485,-0.8606191
9.624,4.175725267,T1_K007_4,k009,K007,T1,Kup,-0.998871332,0.469899303
9.334,4.098201202,T1_K007_5,k009,K007,T1,Kup,-1.326185102,0.411959045
11.05,1.617365363,T1_K007_6,k009,K007,T1,Kup,0.610609481,-1.442178354
10.978,1.83304039,T1_K007_7,k009,K007,T1,Kup,0.529345372,-1.280986256
9.989,3.305860139,T1_K007_8,k009,K007,T1,Kup,-0.586907449,-0.180224111
8.889,3.116579136,T1_K007_9,k009,K007,T1,Kup,-1.828442438,-0.321689734
9.726,2.83149751,T1_K008_1,k009,K008,T1,Kup,-0.883747178,-0.534755224
10.444,2.32596823,T1_K008_2,k009,K008,T1,Kup,-0.073363431,-0.912579798
10.005,2.815866486,T1_K008_3,k009,K008,T1,Kup,-0.568848758,-0.546437604
10.612,4.04233224,T1_K010_1,k012,K010,T1,Kup,0.116252822,0.370203468
10.458,2.095135455,T1_K010_10,k012,K010,T1,Kup,-0.057562077,-1.085100557
10.122,2.922612682,T1_K010_11,k012,K010,T1,Kup,-0.436794582,-0.466657188
10.615,3.468085343,T1_K010_2,k012,K010,T1,Kup,0.119638826,-0.058979564
10.501,2.670688839,T1_K010_3,k012,K010,T1,Kup,-0.009029345,-0.654941077
10.205,4.219815069,T1_K010_4,k012,K010,T1,Kup,-0.343115124,0.502851322
10.479,2.68884348,T1_K010_5,k012,K010,T1,Kup,-0.033860045,-0.641372586
10.028,3.168121722,T1_K010_6,k012,K010,T1,Kup,-0.542889391,-0.283167622
10.282,3.443391569,T1_K010_7,k012,K010,T1,Kup,-0.256207675,-0.0774353
