length,yolk_vol,animal,dam,sire,treatment,population,z_length,z_yolk_vol
12.36,1.079377557,T1_K001_1,K001,k003,T1,Kup,0.478978979,-0.115589851
11.443,1.415385779,T1_K001_10,K001,k003,T1,Kup,-0.897897898,0.312992065
12.336,1.50544341,T1_K001_2,K001,k003,T1,Kup,0.442942943,0.427861492
12.058,1.876162817,T1_K001_3,K001,k003,T1,Kup,0.025525526,0.900717879
12.397,1.93704308,T1_K001_4,K001,k003,T1,Kup,0.534534535,0.978371276
12.443,0.897446624,T1_K001_5,K001,k003,T1,Kup,0.603603604,-0.347644612
12.181,1.462294709,T1_K001_6,K001,k003,T1,Kup,0.21021021,0.372824884
11.756,1.019895595,T1_K001_7,K001,k003,T1,Kup,-0.427927928,-0.1914597
12.001,1.100574048,T1_K001_8,K001,k003,T1,Kup,-0.06006006,-0.08855351
12.333,0.773623082,T1_K001_9,K001,k003,T1,Kup,0.438438438,-0.505582804
12.317,1.255037975,T1_K002_1,K002,k003,T1,Kup,0.414414414,0.108466805
12.2,0.844977537,T1_K002_10,K002,k003,T1,Kup,0.238738739,-0.414569468
11.201,1.676409496,T1_K002_2,K002,k003,T1,Kup,-1.261261261,0.64593048
11.989,1.29333924,T1_K002_3,K002,k003,T1,Kup,-0.078078078,0.157320459
11.604,0.933280432,T1_K002_4,K002,k003,T1,Kup,-0.656156156,-0.301938224
11.488,1.269526472,T1_K002_5,K002,k003,T1,Kup,-0.83033033,0.126947031
11.873,0.968078596,T1_K002_6,K002,k003,T1,Kup,-0.252252252,-0.257552811
12.038,0.802170575,T1_K002_7,K002,k003,T1,Kup,-0.004504505,-0.469170185
11.616,0.722279548,T1_K002_8,K002,k003,T1,Kup,-0.638138138,-0.571072005
11.94,1.343282185,T1_K002_9,K002,k003,T1,Kup,-0.151651652,0.221023195
12.857,1.650410192,T1_K004_1,K004,k006,T1,Kup,1.225225225,0.612768102
12.422,0.816984604,T1_K004_10,K004,k006,T1,Kup,0.572072072,-0.45027474
12.934,0.618411192,T1_K004_11,K004,k006,T1,Kup,1.340840841,-0.703557153
12.456,1.287952312,T1_K004_2,K004,k006,T1,Kup,0.623123123,0.150449378
13.688,0.590750789,T1_K004_3,K004,k006,T1,Kup,2.472972973,-0.738838279
12.402,0.919556261,T1_K004_4,K004,k006,T1,Kup,0.542042042,-0.319443545
12.186,0.579023751,T1_K004_5,K004,k006,T1,Kup,0.217717718,-0.753796236
12.258,1.283613803,T1_K004_6,K004,k006,T1,Kup,0.325825826,0.144915565
11.978,0.750769474,T1_K004_7,K004,k006,T1,Kup,-0.094594595,-0.534732814
12.38,0.698631811,T1_K004_8,K004,k006,T1,Kup,0.509009009,-0.601234935
13.076,0.798769502,T1_K004_9,K004,k006,T1,Kup,1.554054054,-0.473508288
12.273,0.361913834,T1_K007_1,K007,k009,T1,Kup,0.348348348,-1.030722151
12.774,0.42265469,T1_K007_10,K007,k009,T1,Kup,1.100600601,-0.953246569
12.045,1.044986481,T1_K007_2,K007,k009,T1,Kup,0.006006006,-0.159456019
12.746,0.497585569,T1_K007_3,K007,k009,T1,Kup,1.058558559,-0.857671468
12.205,0.581268622,T1_K007_4,K007,k009,T1,Kup,0.246246246,-0.75093288
12.565,0.391072093,T1_K007_5,K007,k009,T1,Kup,0.786786787,-0.993530494
12.278,0.330665333,T1_K007_6,K007,k009,T1,Kup,0.355855856,-1.070579932
12.138,0.063896774,T1_K007_7,K007,k009,T1,Kup,0.145645646,-1.410845952
12.302,0.411193289,T1_K007_8,K007,k009,T1,Kup,0.391891892,-0.967865703
12.266,0.397413325,T1_K007_9,K007,k009,T1,Kup,0.337837838,-0.985442188
12.783,1.473453434,T1_K010_1,K010,k012,T1,Kup,1.114114114,0.387057952
11.617,0.926474003,T1_K010_10,K010,k012,T1,Kup,-0.636636637,-0.310619894
