id,father,mother
T1_K001_1,k003,K001
T1_K001_10,k003,K001
T1_K001_2,k003,K001
T1_K001_3,k003,K001
T1_K001_4,k003,K001
T1_K001_5,k003,K001
T1_K001_6,k003,K001
T1_K001_7,k003,K001
T1_K001_8,k003,K001
T1_K001_9,k003,K001
T1_K002_1,k003,K002
T1_K002_10,k003,K002
T1_K002_2,k003,K002
T1_K002_3,k003,K002
T1_K002_4,k003,K002
T1_K002_5,k003,K002
T1_K002_6,k003,K002
T1_K002_7,k003,K002
T1_K002_8,k003,K002
T1_K002_9,k003,K002
T1_K004_1,k006,K004
T1_K004_10,k006,K004
T1_K004_11,k006,K004
T1_K004_2,k006,K004
T1_K004_3,k006,K004
T1_K004_4,k006,K004
T1_K004_5,k006,K004
T1_K004_6,k006,K004
T1_K004_7,k006,K004
T1_K004_8,k006,K004
T1_K004_9,k006,K004
T1_K007_1,k009,K007
T1_K007_10,k009,K007
T1_K007_2,k009,K007
T1_K007_3,k009,K007
T1_K007_4,k009,K007
T1_K007_5,k009,K007
T1_K007_6,k009,K007
T1_K007_7,k009,K007
T1_K007_8,k009,K007
T1_K007_9,k009,K007
T1_K010_1,k012,K010
T1_K010_10,k012,K010
T1_K010_11,k012,K010
T1_K010_2,k012,K010
T1_K010_3,k012,K010
T1_K010_4,k012,K010
T1_K010_5,k012,K010
T1_K010_6,k012,K010
T1_K010_7,k012,K010
T1_K010_8,k012,K010
T1_K010_9,k012,K010
T1_K011_1,k012,K011
T1_K011_10,k012,K011
T1_K011_2,k012,K011
T1_K011_3,k012,K011
T1_K011_4,k012,K011
T1_K011_5,k012,K011
T1_K011_6,k012,K011
T1_K011_7,k012,K011
T1_K011_8,k012,K011
T1_K011_9,k012,K011
T1_K013_1,k015,K013
T1_K013_10,k015,K013
T1_K013_2,k015,K013
T1_K013_3,k015,K013
T1_K013_4,k015,K013
T1_K013_5,k015,K013
T1_K013_6,k015,K013
T1_K013_7,k015,K013
T1_K013_8,k015,K013
T1_K013_9,k015,K013
T1_K014_1,k015,K014
T1_K014_10,k015,K014
T1_K014_2,k015,K014
T1_K014_3,k015,K014
T1_K014_4,k015,K014
T1_K014_5,k015,K014
T1_K014_6,k015,K014
T1_K014_7,k015,K014
T1_K014_8,k015,K014
T1_K014_9,k015,K014
T1_K016_1,k018,K016
T1_K016_10,k018,K016
T1_K016_2,k018,K016
T1_K016_3,k018,K016
T1_K016_4,k018,K016
T1_K016_5,k018,K016
T1_K016_6,k018,K016
T1_K016_7,k018,K016
T1_K016_8,k018,K016
T1_K016_9,k018,K016
T1_K017_1,k018,K017
T1_K017_10,k018,K017
T1_K017_2,k018,K017
T1_K017_3,k018,K017
T1_K017_4,k018,K017
T1_K017_5,k018,K017
T1_K017_6,k018,K017
T1_K017_7,k018,K017
T1_K017_8,k018,K017
T1_K017_9,k018,K017
T1_K019_1,k021,K019
T1_K019_10,k021,K019
