z_length,z_yolk_vol,animal,treatment,population,length,yolk_vol
0.514672686,1.550377323,T1_K001_1,T1,Kup,10.965,5.621404858
0.303611738,,T1_K001_10,T1,Kup,10.778,
0.121896163,-0.347317103,T1_K001_11,T1,Kup,10.617,3.082289716
-0.732505643,0.866413931,T1_K001_12,T1,Kup,9.86,4.70626184
-0.584650113,1.059329529,T1_K001_2,T1,Kup,9.991,4.96438291
-0.303611738,0.930861648,T1_K001_3,T1,Kup,10.24,4.792492885
0.272009029,0.625714937,T1_K001_4,T1,Kup,10.75,4.384206586
0.608352144,0.332035339,T1_K001_5,T1,Kup,11.048,3.991263283
-0.775395034,0.251399001,T1_K001_6,T1,Kup,9.822,3.883371864
0.073363431,2.14843154,T1_K001_7,T1,Kup,10.574,6.4216014
-1.019187359,0.910993109,T1_K001_8,T1,Kup,9.606,4.76590878
0.428893905,0.676533229,T1_K001_9,T1,Kup,10.889,4.452201461
0.997742664,-0.762709125,T1_K002_1,T1,Kup,11.393,2.526495191
-1.835214447,0.852170332,T1_K002_10,T1,Kup,8.883,4.687203904
-1.611738149,1.174723326,T1_K002_2,T1,Kup,9.081,5.11877981
-0.603837472,-0.229085688,T1_K002_3,T1,Kup,9.974,3.240483349
-0.279909707,-0.498415278,T1_K002_4,T1,Kup,10.261,2.880120358
0.304740406,-0.783869519,T1_K002_5,T1,Kup,10.779,2.498182584
-1.151241535,0.574366935,T1_K002_6,T1,Kup,9.489,4.315502959
-0.667042889,0.341718657,T1_K002_7,T1,Kup,9.918,4.004219563
-0.522573363,,T1_K002_8,T1,Kup,10.046,
-0.64221219,0.590316578,T1_K002_9,T1,Kup,9.94,4.336843581
-0.945823928,0.235738868,T1_K004_1,T1,Kup,9.671,3.862418605
0.164785553,0.197310555,T1_K004_10,T1,Kup,10.655,3.811001522
-0.183972912,0.635903625,T1_K004_2,T1,Kup,10.346,4.39783905
-0.053047404,0.385170922,T1_K004_3,T1,Kup,10.462,4.062358693
0.344243792,0.719723647,T1_K004_4,T1,Kup,10.814,4.50999024
0.425507901,0.243658433,T1_K004_5,T1,Kup,10.886,3.873014984
0.441309255,0.372322914,T1_K004_6,T1,Kup,10.9,4.045168059
0.137697517,0.164084635,T1_K004_7,T1,Kup,10.631,3.766545242
0.174943567,0.762618812,T1_K004_8,T1,Kup,10.664,4.567383971
0.34537246,0.206988698,T1_K004_9,T1,Kup,10.815,3.823950878
-1.150112867,-0.21653351,T1_K005_1,T1,Kup,9.49,3.257278164
0.682844244,-0.959046943,T1_K005_10,T1,Kup,11.114,2.26379519
0.522573363,-1.063924407,T1_K005_2,T1,Kup,10.972,2.123469143
-0.116252822,-0.490824033,T1_K005_3,T1,Kup,10.406,2.890277444
0.180586907,0.084960029,T1_K005_4,T1,Kup,10.669,3.660676519
0.413092551,-1.22311252,T1_K005_5,T1,Kup,10.875,1.910475448
-0.887133183,-0.075726673,T1_K005_6,T1,Kup,9.723,3.445677712
-0.593679458,-0.138090001,T1_K005_7,T1,Kup,9.983,3.362235578
-0.769751693,0.04981288,T1_K005_8,T1,Kup,9.827,3.613649634
-1.308126411,-0.675575091,T1_K005_9,T1,Kup,9.35,2.643080528
1.100451467,-0.604165797,T1_K007_1,T1,Kup,11.484,2.738626163
-0.305869074,0.572723221,T1_K007_2,T1,Kup,10.238,4.31330367
0.613995485,-0.8606191,T1_K007_3,T1,Kup,11.053,2.395491644
-0.998871332,0.469899303,T1_K007_4,T1,Kup,9.624,4.175725267
-1.326185102,0.411959045,T1_K007_5,T1,Kup,9.334,4.098201202
0.610609481,-1.442178354,T1_K007_6,T1,Kup,11.05,1.617365363
0.529345372,-1.280986256,T1_K007_7,T1,Kup,10.978,1.83304039
-0.586907449,-0.180224111,T1_K007_8,T1,Kup,9.989,3.305860139
-1.828442438,-0.321689734,T1_K007_9,T1,Kup,8.889,3.116579136
-0.883747178,-0.534755224,T1_K008_1,T1,Kup,9.726,2.83149751
-0.073363431,-0.912579798,T1_K008_2,T1,Kup,10.444,2.32596823
-0.568848758,-0.546437604,T1_K008_3,T1,Kup,10.005,2.815866486
0.116252822,0.370203468,T1_K010_1,T1,Kup,10.612,4.04233224
-0.057562077,-1.085100557,T1_K010_10,T1,Kup,10.458,2.095135455
-0.436794582,-0.466657188,T1_K010_11,T1,Kup,10.122,2.922612682
0.119638826,-0.058979564,T1_K010_2,T1,Kup,10.615,3.468085343
-0.009029345,-0.654941077,T1_K010_3,T1,Kup,10.501,2.670688839
-0.343115124,0.502851322,T1_K010_4,T1,Kup,10.205,4.219815069
-0.033860045,-0.641372586,T1_K010_5,T1,Kup,10.479,2.68884348
-0.542889391,-0.283167622,T1_K010_6,T1,Kup,10.028,3.168121722
-0.256207675,-0.0774353,T1_K010_7,T1,Kup,10.282,3.443391569
-0.788939052,0.111983324,T1_K010_8,T1,Kup,9.81,3.696833687
-0.408577878,-0.05357115,T1_K010_9,T1,Kup,10.147,3.475321801
0.371331828,1.459309967,T1_K011_1,T1,Kup,10.838,5.499556736
-0.248306998,0.659621542,T1_K011_10,T1,Kup,10.289,4.429573623
-0.148984199,2.015776003,T1_K011_2,T1,Kup,10.377,6.244108292
0.260722348,0.694307032,T1_K011_3,T1,Kup,10.74,4.475982809
-0.039503386,1.011762823,T1_K011_4,T1,Kup,10.474,4.900738657
0.220090293,0.734621131,T1_K011_5,T1,Kup,10.704,4.529923073
0.249435666,1.800109102,T1_K011_6,T1,Kup,10.73,5.955545979
-0.623024831,1.50022846,T1_K011_7,T1,Kup,9.957,5.554305679
-0.295711061,0.665009248,T1_K011_8,T1,Kup,10.247,4.436782374
-0.417607223,1.038534836,T1_K011_9,T1,Kup,10.139,4.936559611
-0.413092551,1.404379377,T1_K013_1,T1,Kup,10.143,5.426059606
-3.002257336,-0.047028785,T1_K013_10,T1,Kup,7.849,3.484075486
-1.297968397,1.099101713,T1_K013_2,T1,Kup,9.359,5.017598092
-1.979683973,0.202916674,T1_K013_3,T1,Kup,8.755,3.81850251
-1.788939052,-0.219848786,T1_K013_4,T1,Kup,8.924,3.252842324
-1.170428894,-0.376541078,T1_K013_5,T1,Kup,9.472,3.043188037
-0.374717833,0.09569973,T1_K013_6,T1,Kup,10.177,3.675046239
-0.503386005,0.265097633,T1_K013_7,T1,Kup,10.063,3.901700633
-2.540632054,0.009829988,T1_K013_8,T1,Kup,8.258,3.560152524
-2.527088036,-0.038742181,T1_K013_9,T1,Kup,8.27,3.495162962
0.998871332,-0.119239641,T1_K014_1,T1,Kup,11.394,3.38745736
-0.238148984,-0.279279136,T1_K014_10,T1,Kup,10.298,3.173324516
-1.074492099,-0.853697085,T1_K014_2,T1,Kup,9.557,2.4047533
-1.329571106,-0.426080596,T1_K014_3,T1,Kup,9.331,2.976904162
0.269751693,-0.825632542,T1_K014_4,T1,Kup,10.748,2.442303659
0.244920993,-0.608205531,T1_K014_5,T1,Kup,10.726,2.733220999
0.439051919,-0.456619137,T1_K014_6,T1,Kup,10.898,2.936043595
-1.288939052,-0.382635777,T1_K014_7,T1,Kup,9.367,3.03503333
-2.588036117,-0.272850407,T1_K014_8,T1,Kup,8.216,3.181926156
