"","Location","Family","reared_wild","TreatmentTank","CG_temp","Resp_temp","Run","Tank","Probe","DO_channel","back_slope","slope1","slope2","slope3","Vr_ml","Va_ml","length_mm","Ma_g","num_per_resp","Comments","mean_slope","DO_Slope_mg_L_min","VO2"
"1","Kuparuk","K12","reared","T1",8,8,1,4,11,2,-0.002208,-0.003688,-0.004527,-0.005916,203.4,0.04,21.17,0.04,1,NA,-0.00471033333333333,-0.00250233333333333,0.76331176
"2","Kuparuk","K15","reared","T1",8,8,1,4,10,1,-0.00252,-0.003503,-0.00342,-0.005924,202.4,0.041,19.79,0.041,1,NA,-0.00428233333333333,-0.00176233333333333,0.521888796585366
"3","Kuparuk","K16","reared","T1",8,8,6,4,11,2,-0.005999,-0.007598,-0.007898,-0.006101,203.4,0.141,NA,0.141,4,NA,-0.007199,-0.0012,0.103791829787234
"4","Kuparuk","K11","reared","T1",8,8,6,2,6,2,-0.002013,-0.008246,-0.006107,-0.007028,203.6,0.175,NA,0.175,4,NA,-0.007127,-0.005114,0.356679582857143
"5","Kuparuk","K16","reared","T1",8,8,3,4,10,1,-0.005263,-0.009388,-0.007426,-0.005548,202.4,0.198,NA,0.198,4,NA,-0.007454,-0.002191,0.134249873333333
"6","Kuparuk","K10","reared","T1",8,8,6,2,4,1,-0.001297,-0.008703,-0.006459,-0.006459,200,0.2,NA,0.2,4,NA,-0.007207,-0.00591,0.3542454
"7","Kuparuk","K1","reared","T1",8,8,7,4,10,1,-0.001277,-0.01138,-0.009748,-0.007744,202.4,0.225,NA,0.225,4,NA,-0.009624,-0.008347,0.450014593333333
"8","Kuparuk","K1","reared","T1",8,8,11,4,12,3,-0.001359,-0.01566,-0.01398,-0.01253,204.2,0.246,NA,0.246,4,NA,-0.0140566666666667,-0.0126976666666667,0.631643879837398
"9","Kuparuk","K2","reared","T1",8,8,11,4,10,1,-0.0005952,-0.02035,0.01759,-0.01301,202.4,0.255,NA,0.255,4,NA,-0.00525666666666667,-0.00466146666666667,0.221715806901961
"10","Kuparuk","K9","reared","T1",8,12,2,3,8,2,-0.004076,-0.00575,-0.004066,-0.003582,204.2,0.04,20.17,0.04,1,NA,-0.004466,-0.000390000000000001,0.1194336
"11","Kuparuk","K3","reared","T1",8,12,5,2,6,2,-0.0005315,-0.01064,-0.009021,-0.004384,203.6,0.615,NA,0.174,4,NA,-0.008015,-0.0074835,0.523806292241379
"12","Kuparuk","K8","reared","T1",8,12,5,3,8,2,-0.001484,-0.01711,-0.0128,-0.008404,204.2,0.176,NA,0.176,4,NA,-0.0127713333333333,-0.0112873333333333,0.785075078181818
"13","Kuparuk","K8","reared","T1",8,16,7,3,9,3,-0.00267,-0.009852,-0.008193,-0.006961,202.8,0.098,NA,0.098,4,NA,-0.00833533333333333,-0.00566533333333333,0.703086365714286
"14","Kuparuk","K2","reared","T1",8,16,7,3,7,1,-0.002636,-0.009114,-0.008212,-0.005607,204,0.121,NA,0.121,4,NA,-0.00764433333333333,-0.00500833333333333,0.506327599173554
"15","Kuparuk","K8","reared","T1",8,16,8,3,8,2,-0.002554,-0.009791,-0.008813,-0.01044,204.2,0.133,NA,0.133,4,NA,-0.00968133333333333,-0.00712733333333333,0.656144450225564
"16","Kuparuk","K9","reared","T1",8,16,4,1,3,3,-0.004283,-0.01185,-0.01186,-0.03859,199.2,0.151,NA,0.151,3,NA,-0.0207666666666667,-0.0164836666666667,1.30373140384106
"17","Kuparuk","K12","reared","T1",8,16,8,1,1,1,-0.002887,-0.01324,-0.01189,-0.01255,201.8,0.175,NA,0.175,4,NA,-0.01256,-0.009673,0.668680671428572
