"","date","fertilization_date","alt.fert.date","calc_days_post_fert","alt.dpf","location","days.post.fert","Treatment","family","Dam","sire","indiv.1to15","ImageJ_num","Length.mm","yolk.sac.length","yolk.sac.height","yolk.sac.volume","disposition","reared.wild","measure.type","file.name","original.name..from.Dropbox.","measured.by","duplicate.to.remove","live.eth.test","initial.postfert","yolk.vol","growth","ln.at.hatch","ln.at.swimup","respiration","eyed","experiment","adj_Length","Comments","Comments2","Duplicate","Repeat.Data","Repeat.Data2","Repeat.Data3","decision","data.source","ethanol.vs.chambers","live.vs.chamber"
"3148","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K1","K001","k003",1,1,12.36,2.041,1.005,1.079377557,"ethanol","reared","ImageJ","CG_SwimUp_T1_K1.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","12.36","n=10; 7/10/17","","","","","","","ethanol","",""
"3149","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K1","K001","k003",2,2,12.336,1.879,1.237,1.50544341,"ethanol","reared","ImageJ","CG_SwimUp_T1_K1.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","12.336","n=10; 7/10/17","","","","","","","ethanol","",""
"3150","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K1","K001","k003",3,3,12.058,2.069,1.316,1.876162817,"ethanol","reared","ImageJ","CG_SwimUp_T1_K1.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","12.058","n=10; 7/10/17","","","","","","","ethanol","",""
"3151","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K1","K001","k003",4,4,12.397,2.082,1.333,1.93704308,"ethanol","reared","ImageJ","CG_SwimUp_T1_K1.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","12.397","n=10; 7/10/17","","","","","","","ethanol","",""
"3152","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K1","K001","k003",5,5,12.443,1.641,1.022,0.897446624,"ethanol","reared","ImageJ","CG_SwimUp_T1_K1.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","12.443","n=10; 7/10/17","","","","","","","ethanol","",""
"3153","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K1","K001","k003",6,6,12.181,1.917,1.207,1.462294709,"ethanol","reared","ImageJ","CG_SwimUp_T1_K1.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","12.181","n=10; 7/10/17","","","","","","","ethanol","",""
"3154","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K1","K001","k003",7,7,11.756,1.854,1.025,1.019895595,"ethanol","reared","ImageJ","CG_SwimUp_T1_K1.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","11.756","n=10; 7/10/17","","","","","","","ethanol","",""
"3155","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K1","K001","k003",8,8,12.001,1.989,1.028,1.100574048,"ethanol","reared","ImageJ","CG_SwimUp_T1_K1.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","12.001","n=10; 7/10/17","","","","","","","ethanol","",""
"3156","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K1","K001","k003",9,9,12.333,2.045,0.85,0.773623082,"ethanol","reared","ImageJ","CG_SwimUp_T1_K1.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","12.333","n=10; 7/10/17","","","","","","","ethanol","",""
"3157","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K1","K001","k003",10,10,11.443,2.044,1.15,1.415385779,"ethanol","reared","ImageJ","CG_SwimUp_T1_K1.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","11.443","n=10; 7/10/17","","","","","","","ethanol","",""
"3158","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K10","K014","k015",1,1,11.881,1.943,1.226,1.529156716,"ethanol","reared","ImageJ","CG_SwimUp_T1_K10.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","11.881","n=10","","","","","","","ethanol","",""
"3159","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K10","K014","k015",2,2,11.73,1.683,1.129,1.123234037,"ethanol","reared","ImageJ","CG_SwimUp_T1_K10.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","11.73","n=10","","","","","","","ethanol","",""
"3160","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K10","K014","k015",3,3,12.269,1.896,1.283,1.63414241,"ethanol","reared","ImageJ","CG_SwimUp_T1_K10.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","12.269","n=10","","","","","","","ethanol","",""
"3161","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K10","K014","k015",4,4,11.811,1.804,1.233,1.436021499,"ethanol","reared","ImageJ","CG_SwimUp_T1_K10.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","11.811","n=10","","","","","","","ethanol","",""
"3162","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K10","K014","k015",5,5,11.615,1.746,1.041,0.990704085,"ethanol","reared","ImageJ","CG_SwimUp_T1_K10.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","11.615","n=10","","","","","","","ethanol","",""
"3163","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K10","K014","k015",6,6,12.04,1.935,1.056,1.129814284,"ethanol","reared","ImageJ","CG_SwimUp_T1_K10.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","12.04","n=10","","","","","","","ethanol","",""
"3164","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K10","K014","k015",7,7,11.059,1.786,1.104,1.139771667,"ethanol","reared","ImageJ","CG_SwimUp_T1_K10.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","11.059","n=10","","","","","","","ethanol","",""
"3165","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K10","K014","k015",8,8,10.94,1.554,1.062,0.917694869,"ethanol","reared","ImageJ","CG_SwimUp_T1_K10.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","10.94","n=10","","","","","","","ethanol","",""
"3166","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K10","K014","k015",9,9,10.864,1.822,0.904,0.779620929,"ethanol","reared","ImageJ","CG_SwimUp_T1_K10.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","10.864","n=10","","","","","","","ethanol","",""
"3167","","6/13/17","6/13/2017","-42899","-42899","Kup","SwimUp","T1","K10","K014","k015",10,10,11.952,2.027,0.922,0.9022229,"ethanol","reared","ImageJ","CG_SwimUp_T1_K10.jpg","","A. Kocher 2019","","","no","yes","yes","no","yes","no","","swimup","11.952","n=10","","","","","","","ethanol","",""
