"","TreatmentTank","Location","Family","ID","Date","days.post.fert","Initial.num.indiv.calc","num.fry","num.hatchlings","perc.hatched","perc.hatchedHG","num.remaining.calc"
"1","T1","Kup","K01","K01_8",2017-06-13,0,350,0,0,0,0,350
"2","T1","Kup","K02","K02_8",2017-06-13,0,350,0,0,0,0,350
"3","T1","Kup","K03","K03_8",2017-06-13,0,350,0,0,0,0,350
"4","T1","Kup","K04","K04_8",2017-06-13,0,350,0,0,0,0,350
"5","T1","Kup","K05","K05_8",2017-06-13,0,350,0,0,0,0,350
"6","T1","Kup","K06","K06_8",2017-06-13,0,350,0,0,0,0,350
"7","T1","Kup","K07","K07_8",2017-06-13,0,350,0,0,0,0,350
"8","T1","Kup","K08","K08_8",2017-06-13,0,350,0,0,0,0,350
"9","T1","Kup","K09","K09_8",2017-06-13,0,350,0,0,0,0,350
"10","T1","Kup","K10","K10_8",2017-06-13,0,350,0,0,0,0,350
"11","T1","Kup","K11","K11_8",2017-06-13,0,350,0,0,0,0,350
"12","T1","Kup","K12","K12_8",2017-06-13,0,350,0,0,0,0,350
"13","T1","Kup","K13","K13_8",2017-06-13,0,350,0,0,0,0,350
"14","T1","Kup","K14","K14_8",2017-06-13,0,350,0,0,0,0,350
"15","T1","Kup","K15","K15_8",2017-06-13,0,350,0,0,0,0,350
"16","T1","Kup","K16","K16_8",2017-06-13,0,350,0,0,0,0,350
"17","T2","Kup","K01","K01_8",2017-06-13,0,350,0,0,0,0,350
"18","T2","Kup","K02","K02_8",2017-06-13,0,350,0,0,0,0,350
"19","T2","Kup","K03","K03_8",2017-06-13,0,350,0,0,0,0,350
"20","T2","Kup","K04","K04_8",2017-06-13,0,350,0,0,0,0,350
"21","T2","Kup","K05","K05_8",2017-06-13,0,350,0,0,0,0,350
"22","T2","Kup","K06","K06_8",2017-06-13,0,350,0,0,0,0,350
"23","T2","Kup","K07","K07_8",2017-06-13,0,350,0,0,0,0,350
"24","T2","Kup","K08","K08_8",2017-06-13,0,350,0,0,0,0,350
