"","TreatmentTank","Location","Family","ID","Date","days.post.fert","Initial.num.indiv.HG2023","num.fry","num.hatchlings","perc.hatched.HG2023","num.remaining.HG2023"
"1","T1","Kup","K01","K01_08",2017-06-13,0,350,0,0,0,350
"2","T1","Kup","K01","K01_08",2017-06-14,1,350,0,0,0,348
"3","T1","Kup","K01","K01_08",2017-06-15,2,348,0,0,0,348
"4","T1","Kup","K01","K01_08",2017-06-16,3,348,0,0,0,348
"5","T1","Kup","K01","K01_08",2017-06-17,4,348,0,0,0,346
"11","T1","Kup","K01","K01_08",2017-06-23,10,339,0,0,0,337
"12","T1","Kup","K01","K01_08",2017-06-25,12,337,0,0,0,335
"13","T1","Kup","K01","K01_08",2017-06-26,13,335,0,0,0,335
"14","T1","Kup","K01","K01_08",2017-06-27,14,335,0,0,0,333
"15","T1","Kup","K01","K01_08",2017-06-28,15,333,0,0,0,322
"16","T1","Kup","K01","K01_08",2017-06-29,16,322,0,0,0,319
"17","T1","Kup","K01","K01_08",2017-06-30,17,319,0,0,0,313
"18","T1","Kup","K01","K01_08",2017-07-01,18,313,0,0,0,300
"19","T1","Kup","K01","K01_08",2017-07-02,19,300,1,1,0.333333333333333,216
"20","T1","Kup","K01","K01_08",2017-07-03,20,216,0,0,0,200
"21","T1","Kup","K01","K01_08",2017-07-04,21,200,2,2,1,193
"22","T1","Kup","K01","K01_08",2017-07-05,22,193,4,4,2.07253886010363,193
"23","T1","Kup","K01","K01_08",2017-07-06,23,193,9,9,4.66321243523316,187
"24","T1","Kup","K01","K01_08",2017-07-07,24,187,42,42,22.4598930481283,175
"25","T1","Kup","K01","K01_08",2017-07-08,25,175,106,106,60.5714285714286,167
"26","T1","Kup","K01","K01_08",2017-07-09,26,167,110,110,65.8682634730539,165
"27","T1","Kup","K01","K01_08",2017-07-10,27,165,120,9,72.7272727272727,141
"28","T1","Kup","K01","K01_08",2017-07-11,28,141,121,0,85.8156028368794,140
"30","T1","Kup","K01","K01_08",2017-07-13,30,138,0,0,0,128
"31","T1","Kup","K01","K01_08",2017-07-14,31,128,89,0,69.53125,128
"32","T1","Kup","K01","K01_08",2017-07-15,32,128,0,0,0,128
"33","T1","Kup","K01","K01_08",2017-07-16,33,128,0,0,0,128
"34","T1","Kup","K01","K01_08",2017-07-17,34,128,0,0,0,128
"35","T1","Kup","K01","K01_08",2017-07-18,35,128,0,0,0,118
"36","T1","Kup","K01","K01_08",2017-07-19,36,118,0,0,0,118
"37","T1","Kup","K01","K01_08",2017-07-20,37,118,0,0,0,117
"38","T1","Kup","K01","K01_08",2017-07-21,38,117,0,0,0,117
"39","T1","Kup","K01","K01_08",2017-07-22,39,117,0,0,0,117
"40","T1","Kup","K01","K01_08",2017-07-23,40,117,0,0,0,106
"54","T2","Kup","K01","K01_12",2017-06-13,0,350,0,0,0,350
"55","T2","Kup","K01","K01_12",2017-06-14,1,350,0,0,0,348
"56","T2","Kup","K01","K01_12",2017-06-15,2,348,0,0,0,347
"57","T2","Kup","K01","K01_12",2017-06-16,3,347,0,0,0,347
"58","T2","Kup","K01","K01_12",2017-06-17,4,347,0,0,0,346
"64","T2","Kup","K01","K01_12",2017-06-23,10,338,0,0,0,335
"65","T2","Kup","K01","K01_12",2017-06-25,12,335,14,14,4.17910447761194,261
"66","T2","Kup","K01","K01_12",2017-06-26,13,261,75,75,28.735632183908,226
"67","T2","Kup","K01","K01_12",2017-06-27,14,226,116,116,51.3274336283186,216
"68","T2","Kup","K01","K01_12",2017-06-28,15,216,167,167,77.3148148148148,204
"69","T2","Kup","K01","K01_12",2017-06-29,16,204,185,9,90.6862745098039,204
"70","T2","Kup","K01","K01_12",2017-06-30,17,204,171,1,83.8235294117647,193
"71","T2","Kup","K01","K01_12",2017-07-01,18,193,177,4,91.7098445595855,192
"72","T2","Kup","K01","K01_12",2017-07-02,19,192,151,3,78.6458333333333,190
"73","T2","Kup","K01","K01_12",2017-07-03,20,190,142,1,74.7368421052632,178
"74","T2","Kup","K01","K01_12",2017-07-04,21,178,159,0,89.3258426966292,177
"75","T2","Kup","K01","K01_12",2017-07-05,22,177,0,0,0,177
"76","T2","Kup","K01","K01_12",2017-07-06,23,177,0,0,0,177
"77","T2","Kup","K01","K01_12",2017-07-07,24,177,0,0,0,176
"78","T2","Kup","K01","K01_12",2017-07-08,25,176,0,0,0,165
"79","T2","Kup","K01","K01_12",2017-07-09,26,165,0,0,0,164
"80","T2","Kup","K01","K01_12",2017-07-10,27,164,0,0,0,163
"81","T2","Kup","K01","K01_12",2017-07-11,28,163,143,0,87.7300613496933,161
"82","T2","Kup","K01","K01_12",2017-07-12,29,161,142,0,88.1987577639752,160
"83","T2","Kup","K01","K01_12",2017-07-13,30,160,140,0,87.5,158
"84","T2","Kup","K01","K01_12",2017-07-14,31,158,0,0,0,158
"85","T2","Kup","K01","K01_12",2017-07-15,32,158,0,0,0,155
"86","T2","Kup","K01","K01_12",2017-07-16,33,155,0,0,0,152
"87","T2","Kup","K01","K01_12",2017-07-17,34,152,0,0,0,147
"88","T2","Kup","K01","K01_12",2017-07-18,35,147,0,0,0,139
"89","T2","Kup","K01","K01_12",2017-07-19,36,139,0,0,0,138
"90","T2","Kup","K01","K01_12",2017-07-20,37,138,0,0,0,138
"91","T2","Kup","K01","K01_12",2017-07-21,38,138,0,0,0,137
"92","T2","Kup","K01","K01_12",2017-07-22,39,137,0,0,0,136
"93","T2","Kup","K01","K01_12",2017-07-23,40,136,0,0,0,131
"107","T3","Kup","K01","K01_16",2017-06-13,0,350,0,0,0,350
"108","T3","Kup","K01","K01_16",2017-06-14,1,350,0,0,0,349
"109","T3","Kup","K01","K01_16",2017-06-15,2,349,0,0,0,341
"110","T3","Kup","K01","K01_16",2017-06-16,3,341,0,0,0,298
"111","T3","Kup","K01","K01_16",2017-06-17,4,298,0,0,0,246
"117","T3","Kup","K01","K01_16",2017-06-23,10,170,16,16,9.41176470588235,129
"118","T3","Kup","K01","K01_16",2017-06-25,12,129,0,0,0,33
"119","T1","Kup","K02","K02_08",2017-06-13,0,350,0,0,0,350
"120","T1","Kup","K02","K02_08",2017-06-14,1,350,0,0,0,347
"121","T1","Kup","K02","K02_08",2017-06-15,2,347,0,0,0,346
"122","T1","Kup","K02","K02_08",2017-06-16,3,346,0,0,0,344
"123","T1","Kup","K02","K02_08",2017-06-17,4,344,0,0,0,343
"129","T1","Kup","K02","K02_08",2017-06-23,10,332,0,0,0,332
"130","T1","Kup","K02","K02_08",2017-06-25,12,332,0,0,0,330
"131","T1","Kup","K02","K02_08",2017-06-26,13,330,0,0,0,330
"132","T1","Kup","K02","K02_08",2017-06-27,14,330,0,0,0,327
"133","T1","Kup","K02","K02_08",2017-06-28,15,327,0,0,0,324
"134","T1","Kup","K02","K02_08",2017-06-29,16,324,0,0,0,319
"135","T1","Kup","K02","K02_08",2017-06-30,17,319,0,0,0,312
"136","T1","Kup","K02","K02_08",2017-07-01,18,312,0,0,0,309
"137","T1","Kup","K02","K02_08",2017-07-02,19,309,0,0,0,305
"138","T1","Kup","K02","K02_08",2017-07-03,20,305,3,3,0.983606557377049,295
"139","T1","Kup","K02","K02_08",2017-07-04,21,295,0,0,0,291
"140","T1","Kup","K02","K02_08",2017-07-05,22,291,4,4,1.3745704467354,285
"141","T1","Kup","K02","K02_08",2017-07-06,23,285,2,2,0.701754385964912,279
"142","T1","Kup","K02","K02_08",2017-07-07,24,279,48,48,17.2043010752688,272
"143","T1","Kup","K02","K02_08",2017-07-08,25,272,112,112,41.1764705882353,259
"144","T1","Kup","K02","K02_08",2017-07-09,26,259,138,138,53.2818532818533,259
"148","T1","Kup","K02","K02_08",2017-07-13,30,240,0,0,0,229
"149","T1","Kup","K02","K02_08",2017-07-14,31,229,189,0,82.5327510917031,228
"150","T1","Kup","K02","K02_08",2017-07-15,32,228,0,0,0,228
"151","T1","Kup","K02","K02_08",2017-07-16,33,228,0,0,0,228
"152","T1","Kup","K02","K02_08",2017-07-17,34,228,0,0,0,227
"153","T1","Kup","K02","K02_08",2017-07-18,35,227,0,0,0,217
"154","T1","Kup","K02","K02_08",2017-07-19,36,217,0,0,0,216
"155","T1","Kup","K02","K02_08",2017-07-20,37,216,0,0,0,216
"156","T1","Kup","K02","K02_08",2017-07-21,38,216,0,0,0,214
"157","T1","Kup","K02","K02_08",2017-07-22,39,214,0,0,0,212
"158","T1","Kup","K02","K02_08",2017-07-23,40,212,0,0,0,198
"172","T2","Kup","K02","K02_12",2017-06-13,0,350,0,0,0,350
"173","T2","Kup","K02","K02_12",2017-06-14,1,350,0,0,0,347
"174","T2","Kup","K02","K02_12",2017-06-15,2,347,0,0,0,347
"175","T2","Kup","K02","K02_12",2017-06-16,3,347,0,0,0,347
"176","T2","Kup","K02","K02_12",2017-06-17,4,347,0,0,0,344
"182","T2","Kup","K02","K02_12",2017-06-23,10,332,0,0,0,325
"183","T2","Kup","K02","K02_12",2017-06-25,12,325,15,15,4.61538461538462,297
"184","T2","Kup","K02","K02_12",2017-06-26,13,297,66,66,22.2222222222222,290
"185","T2","Kup","K02","K02_12",2017-06-27,14,290,194,194,66.8965517241379,286
"186","T2","Kup","K02","K02_12",2017-06-28,15,286,241,158,84.2657342657343,263
"187","T2","Kup","K02","K02_12",2017-06-29,16,263,234,7,88.9733840304182,257
