"","HG.checked","TreatmentTemp.C","TreatmentTank","Aquarium","Chamber.num","Location","Family","ID","Fertilization Date","Date","days.post.fert","FertilizationDate.hrs","Date.Time","days.hrs.post.fert","Initial.num.indiv(calc)","indiv.dead","fry.dead","eggs.dead","indiv.sampled","hatch.sampled","swim.sampled","dead.sampled","lost.fish","eyed","eye.sampled","%subsample.eyed","num.fry","% hatched","num.hatchlings","num.swimup","# eggs remaining","# organisms remaining","num.remaining (calc)","image.taken","Comments","General Notes","AP data recording notes"
"1","x",8,"T1","A1",1,"Kup","K01","K01_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"2","x",8,"T1","A1",2,"Kup","K02","K02_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"3","x",8,"T1","A1",3,"Kup","K03","K03_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"4","x",8,"T1","A1",4,"Kup","K04","K04_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"5","x",8,"T1","A2",5,"Kup","K05","K05_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"6","x",8,"T1","A2",6,"Kup","K06","K06_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"7","x",8,"T1","A2",7,"Kup","K07","K07_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"8","x",8,"T1","A2",8,"Kup","K08","K08_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"9","x",8,"T1","A3",9,"Kup","K09","K09_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"10","x",8,"T1","A3",10,"Kup","K10","K10_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"11","x",8,"T1","A3",11,"Kup","K11","K11_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"12","x",8,"T1","A3",12,"Kup","K12","K12_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"13","x",8,"T1","A4",13,"Kup","K13","K13_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"14","x",8,"T1","A4",14,"Kup","K14","K14_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"15","x",8,"T1","A4",15,"Kup","K15","K15_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"16","x",8,"T1","A4",16,"Kup","K16","K16_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"17","x",12,"T2","A1",1,"Kup","K01","K01_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"18","x",12,"T2","A1",2,"Kup","K02","K02_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"19","x",12,"T2","A1",3,"Kup","K03","K03_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"20","x",12,"T2","A1",4,"Kup","K04","K04_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"21","x",12,"T2","A2",5,"Kup","K05","K05_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"22","x",12,"T2","A2",6,"Kup","K06","K06_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"23","x",12,"T2","A2",7,"Kup","K07","K07_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"24","x",12,"T2","A2",8,"Kup","K08","K08_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"25","x",12,"T2","A3",9,"Kup","K09","K09_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"26","x",12,"T2","A3",10,"Kup","K10","K10_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"27","x",12,"T2","A3",11,"Kup","K11","K11_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"28","x",12,"T2","A3",12,"Kup","K12","K12_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"29","x",12,"T2","A4",13,"Kup","K13","K13_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"30","x",12,"T2","A4",14,"Kup","K14","K14_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"31","x",12,"T2","A4",15,"Kup","K15","K15_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"32","x",12,"T2","A4",16,"Kup","K16","K16_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"33","x",16,"T3","A1",1,"Kup","K01","K01_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"34","x",16,"T3","A1",2,"Kup","K02","K02_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"35","x",16,"T3","A1",3,"Kup","K03","K03_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"36","x",16,"T3","A1",4,"Kup","K04","K04_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"37","x",16,"T3","A2",5,"Kup","K05","K05_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"38","x",16,"T3","A2",6,"Kup","K06","K06_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"39","x",16,"T3","A2",7,"Kup","K07","K07_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"40","x",16,"T3","A2",8,"Kup","K08","K08_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"41","x",16,"T3","A3",9,"Kup","K09","K09_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"42","x",16,"T3","A3",10,"Kup","K10","K10_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"43","x",16,"T3","A3",11,"Kup","K11","K11_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"44","x",16,"T3","A3",12,"Kup","K12","K12_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"45","x",16,"T3","A4",13,"Kup","K13","K13_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"46","x",16,"T3","A4",14,"Kup","K14","K14_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"47","x",16,"T3","A4",15,"Kup","K15","K15_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"48","x",16,"T3","A4",16,"Kup","K16","K16_8",2017-06-13,2017-06-13,0,2017-06-13 16:00:00,2017-06-13 16:00:00,0,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,NA,NA,NA,NA
"49","x",8,"T1","A1",1,"Kup","K01","K01_8",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,348,"yes",NA,NA,NA
"50","x",8,"T1","A1",2,"Kup","K02","K02_8",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,347,"yes",NA,NA,NA
"51","x",8,"T1","A1",3,"Kup","K03","K03_8",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,349,"yes",NA,NA,NA
"52","x",8,"T1","A1",4,"Kup","K04","K04_8",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,"yes",NA,NA,NA
"53","x",8,"T1","A2",5,"Kup","K05","K05_8",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,347,"yes",NA,NA,NA
"54","x",8,"T1","A2",6,"Kup","K06","K06_8",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,"yes",NA,NA,NA
"55","x",8,"T1","A2",7,"Kup","K07","K07_8",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,"yes",NA,NA,NA
"56","x",8,"T1","A2",8,"Kup","K08","K08_8",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,"yes",NA,NA,NA
