"","Location","Family","reared_wild","TreatmentTank","CG_temp","Resp_temp","Run","Tank","Probe","Vr_ml","Va_ml","length_mm","Ma_g","num_per_resp","Comments.x","data_notebook_time","data_notebook_DO","qmbl_file_DO_number","qmbl_file","back_slope","back_slope_corr","slope1","corr_slope1","slope2","corr_slope2","slope3","corr_slope3","Comments.y","mean_slope","DO_Slope_mg_L_min","VO2"
"1","Kuparuk","K5","reared","T3","16","16","1","1","1",201.8,0.315,38.78,0.315,1,NA,188.53,6.02,"DO3","R1_T1_P123_08_05_2017.qmbl",-0.003563,-0.9137,-0.01437,-0.9979,-0.01275,-0.9945,-0.01732,-0.9927,NA,-0.0148133333333333,-0.0112503333333333,0.431766364126984
"2","Kuparuk","K4","reared","T3","16","16","1","1","2",201.6,0.314,37.19,0.314,1,NA,188.53,6.16,"DO1","R1_T1_P123_08_05_2017.qmbl",-0.00181,-0.8199,-0.01618,-0.9887,-0.008861,-0.9669,-0.009105,-0.9702,NA,-0.011382,-0.009572,0.368161068535032
"3","Sagavanirktok","O1","reared","T3","16","16","1","1","3",199.2,0.227,35.59,0.227,1,NA,188.53,6.52,"DO2","R1_T1_P123_08_05_2017.qmbl",-0.00322,-0.9022,-0.01038,-0.9943,-0.011,-0.9915,-0.01758,-0.9883,NA,-0.0129866666666667,-0.00976666666666666,0.51364836123348
"4","Sagavanirktok","O6","reared","T2","12","12","1","2","4",200,0.115,28.29,0.115,1,NA,188.53,9.24,"DO1","R1_T2_P46_08_05_2017",-0.001602,-0.5285,-0.005403,-0.9663,-0.004584,-0.9063,-0.003488,-0.861,NA,-0.00449166666666667,-0.00288966666666667,0.301357054782609
"5","Kuparuk","K5","reared","T2","12","12","1","2","6",203.6,0.21,34.44,0.21,1,NA,188.53,9.3,"DO2","R1_T2_P46_08_05_2017",-0.002178,-0.5626,-0.007866,-0.9857,-0.008427,-0.9599,-0.0153,-0.9307,NA,-0.010531,-0.008353,0.485404762857143
"6","Kuparuk","K1","reared","T2","12","12","1","3","7",204,0.2,32.2,0.2,1,NA,188.53,7.84,"DO1","R1_T3_P789_08_05_2017",-0.001674,-0.6696,-0.009577,-0.9917,-0.009011,-0.9767,-0.01343,-0.9715,NA,-0.0106726666666667,-0.00899866666666667,0.55017848
"7","Sagavanirktok","O4","reared","T2","12","12","1","3","8",204.2,0.171,31.92,0.171,1,NA,188.53,8.74,"DO2","R1_T3_P789_08_05_2017",-0.003283,-0.8609,-0.006639,-0.9802,-0.007932,-0.9571,-0.01158,-0.939,NA,-0.008717,-0.005434,0.389015293333333
"8","Sagavanirktok","O5","reared","T2","12","12","1","3","9",202.8,0.296,37.12,0.296,1,NA,188.53,8.11,"DO3","R1_T3_P789_08_05_2017",-0.004331,-0.7589,-0.01153,-0.9928,-0.01103,-0.993,-0.01592,-0.979,NA,-0.0128266666666667,-0.00849566666666667,0.348731043783784
"10","Kuparuk","K12","reared","T1","8","8","1","4","11",203.4,0.04,21.17,0.04,1,NA,188.53,9.18,"DO2","R1_T4_P101112_08_05_2017",-0.003864,-0.6849,-0.003848,-0.8672,-0.004816,-0.9082,-0.009517,-0.9243,NA,-0.00606033333333333,-0.00219633333333333,0.66996952
"12","Kuparuk","K11","reared","T2","12","16","2","1","1",201.8,0.288,34.56,0.288,1,NA,3.3,7.08,"DO1","R2_T1_P123_08_05_2017",-0.006513,-0.9764,-0.01668,-0.9983,-0.01451,-0.9967,-0.01358,-0.88,NA,-0.0149233333333333,-0.00841033333333334,0.353079810555556
"13","Kuparuk","K12","reared","T2","12","16","2","1","2",201.6,0.184,30.28,0.184,1,NA,3.3,6.84,"DO2","R2_T1_P123_08_05_2017",-0.00449,-0.9849,-0.009034,-0.9939,-0.01062,-0.9836,-0.005119,-0.9665,NA,-0.00825766666666666,-0.00376766666666666,0.247457070434782
"15","Sagavanirktok","O5","reared","T3","16","12","2","2","4",200,0.276,36.54,0.276,1,NA,3.3,9.26,"DO1","R2_T2_P46_08_05_2017",-0.002492,-0.8541,-0.0163,-0.9797,-0.01425,-0.9921,-0.01421,-0.9943,NA,-0.01492,-0.012428,0.539602146086957
"16","Kuparuk","K5","reared","T3","16","12","2","2","6",203.6,0.253,36.2,0.253,1,NA,3.3,9.52,"DO2","R2_T2_P46_08_05_2017",-0.002027,-0.8249,-0.009722,-0.9706,-0.008562,-0.9767,-0.005043,-0.9689,NA,-0.00777566666666667,-0.00574866666666667,0.277227064189723
"17","Kuparuk","K5","reared","T3","16","12","2","3","9",202.8,0.46,42.62,0.46,1,NA,3.3,8.57,"DO1","R2_T3_P789_08_05_2017",-0.003944,-0.9731,-0.01851,-0.9965,-0.01661,-0.9893,-0.0152,-0.9975,NA,-0.0167733333333333,-0.0128293333333333,0.338593996521739
"18","Kuparuk","K9","reared","T1","8","12","2","3","8",204.2,0.04,20.17,0.04,1,NA,3.3,8.95,"DO3","R2_T3_P789_08_05_2017",-0.003952,-0.9582,-0.005767,-0.9706,-0.004014,-0.8592,-0.003551,-0.929,NA,-0.004444,-0.000492000000000001,0.15067008
"20","Sagavanirktok","O4","reared","T2","12","8","2","4","10",202.4,0.172,31.91,0.172,1,NA,3.3,9.16,"DO3","R2_T4_P101112_08_05_2017",-0.005655,-0.9331,-0.008527,-0.9913,-0.007171,-0.9708,-0.006346,-0.9812,NA,-0.007348,-0.001693,0.119432094418605
"21","Kuparuk","K9","reared","T2","12","8","2","4","11",203.4,0.169,31.24,0.169,1,NA,3.3,9.45,"DO1","R2_T4_P101112_08_05_2017",-0.005892,-0.9164,-0.007302,-0.9855,-0.006432,-0.9606,-0.0045,-0.9671,NA,-0.006078,-0.000186,0.0134204613017752
