TreatmentTemp.C,TreatmentTank,Aquarium,Chamber.num,Location,Family,ID,Fertilization.Date,Date,days.post.fert,Initial.num.indiv.calc.,num.remaining..calc.
8,T1,A1,1,Kup,K01,T1-A1-K01,6/13/17,6/13/17,0,350,350
8,T1,A1,2,Kup,K02,T1-A1-K02,6/13/17,6/13/17,0,350,350
8,T1,A1,3,Kup,K03,T1-A1-K03,6/13/17,6/13/17,0,350,350
8,T1,A1,4,Kup,K04,T1-A1-K04,6/13/17,6/13/17,0,350,350
8,T1,A2,5,Kup,K05,T1-A2-K05,6/13/17,6/13/17,0,350,350
8,T1,A2,6,Kup,K06,T1-A2-K06,6/13/17,6/13/17,0,350,350
8,T1,A2,7,Kup,K07,T1-A2-K07,6/13/17,6/13/17,0,350,350
8,T1,A2,8,Kup,K08,T1-A2-K08,6/13/17,6/13/17,0,350,350
8,T1,A3,9,Kup,K09,T1-A3-K09,6/13/17,6/13/17,0,350,350
8,T1,A3,10,Kup,K10,T1-A3-K10,6/13/17,6/13/17,0,350,350
8,T1,A3,11,Kup,K11,T1-A3-K11,6/13/17,6/13/17,0,350,350
8,T1,A3,12,Kup,K12,T1-A3-K12,6/13/17,6/13/17,0,350,350
8,T1,A4,13,Kup,K13,T1-A4-K13,6/13/17,6/13/17,0,350,350
8,T1,A4,14,Kup,K14,T1-A4-K14,6/13/17,6/13/17,0,350,350
8,T1,A4,15,Kup,K15,T1-A4-K15,6/13/17,6/13/17,0,350,350
8,T1,A4,16,Kup,K16,T1-A4-K16,6/13/17,6/13/17,0,350,350
12,T2,A1,1,Kup,K01,T2-A1-K01,6/13/17,6/13/17,0,350,350
12,T2,A1,2,Kup,K02,T2-A1-K02,6/13/17,6/13/17,0,350,350
12,T2,A1,3,Kup,K03,T2-A1-K03,6/13/17,6/13/17,0,350,350
12,T2,A1,4,Kup,K04,T2-A1-K04,6/13/17,6/13/17,0,350,350
12,T2,A2,5,Kup,K05,T2-A2-K05,6/13/17,6/13/17,0,350,350
12,T2,A2,6,Kup,K06,T2-A2-K06,6/13/17,6/13/17,0,350,350
12,T2,A2,7,Kup,K07,T2-A2-K07,6/13/17,6/13/17,0,350,350
12,T2,A2,8,Kup,K08,T2-A2-K08,6/13/17,6/13/17,0,350,350
12,T2,A3,9,Kup,K09,T2-A3-K09,6/13/17,6/13/17,0,350,350
12,T2,A3,10,Kup,K10,T2-A3-K10,6/13/17,6/13/17,0,350,350
12,T2,A3,11,Kup,K11,T2-A3-K11,6/13/17,6/13/17,0,350,350
12,T2,A3,12,Kup,K12,T2-A3-K12,6/13/17,6/13/17,0,350,350
12,T2,A4,13,Kup,K13,T2-A4-K13,6/13/17,6/13/17,0,350,350
12,T2,A4,14,Kup,K14,T2-A4-K14,6/13/17,6/13/17,0,350,350
12,T2,A4,15,Kup,K15,T2-A4-K15,6/13/17,6/13/17,0,350,350
12,T2,A4,16,Kup,K16,T2-A4-K16,6/13/17,6/13/17,0,350,350
16,T3,A1,1,Kup,K01,T3-A1-K01,6/13/17,6/13/17,0,350,350
16,T3,A1,2,Kup,K02,T3-A1-K02,6/13/17,6/13/17,0,350,350
16,T3,A1,3,Kup,K03,T3-A1-K03,6/13/17,6/13/17,0,350,350
16,T3,A1,4,Kup,K04,T3-A1-K04,6/13/17,6/13/17,0,350,350
16,T3,A2,5,Kup,K05,T3-A2-K05,6/13/17,6/13/17,0,350,350
16,T3,A2,6,Kup,K06,T3-A2-K06,6/13/17,6/13/17,0,350,350
16,T3,A2,7,Kup,K07,T3-A2-K07,6/13/17,6/13/17,0,350,350
16,T3,A2,8,Kup,K08,T3-A2-K08,6/13/17,6/13/17,0,350,350
16,T3,A3,9,Kup,K09,T3-A3-K09,6/13/17,6/13/17,0,350,350
16,T3,A3,10,Kup,K10,T3-A3-K10,6/13/17,6/13/17,0,350,350
16,T3,A3,11,Kup,K11,T3-A3-K11,6/13/17,6/13/17,0,350,350
16,T3,A3,12,Kup,K12,T3-A3-K12,6/13/17,6/13/17,0,350,350
16,T3,A4,13,Kup,K13,T3-A4-K13,6/13/17,6/13/17,0,350,350
16,T3,A4,14,Kup,K14,T3-A4-K14,6/13/17,6/13/17,0,350,350
16,T3,A4,15,Kup,K15,T3-A4-K15,6/13/17,6/13/17,0,350,350
16,T3,A4,16,Kup,K16,T3-A4-K16,6/13/17,6/13/17,0,350,350
8,T1,A1,1,Kup,K01,T1-A1-K01,6/13/17,6/14/17,1,350,348
8,T1,A1,2,Kup,K02,T1-A1-K02,6/13/17,6/14/17,1,350,347
8,T1,A1,3,Kup,K03,T1-A1-K03,6/13/17,6/14/17,1,350,349
8,T1,A1,4,Kup,K04,T1-A1-K04,6/13/17,6/14/17,1,350,350
8,T1,A2,5,Kup,K05,T1-A2-K05,6/13/17,6/14/17,1,350,347
8,T1,A2,6,Kup,K06,T1-A2-K06,6/13/17,6/14/17,1,350,350
8,T1,A2,7,Kup,K07,T1-A2-K07,6/13/17,6/14/17,1,350,350
8,T1,A2,8,Kup,K08,T1-A2-K08,6/13/17,6/14/17,1,350,350
8,T1,A3,9,Kup,K09,T1-A3-K09,6/13/17,6/14/17,1,350,350
8,T1,A3,10,Kup,K10,T1-A3-K10,6/13/17,6/14/17,1,350,350
8,T1,A3,11,Kup,K11,T1-A3-K11,6/13/17,6/14/17,1,350,349
8,T1,A3,12,Kup,K12,T1-A3-K12,6/13/17,6/14/17,1,350,350
8,T1,A4,13,Kup,K13,T1-A4-K13,6/13/17,6/14/17,1,350,350
8,T1,A4,14,Kup,K14,T1-A4-K14,6/13/17,6/14/17,1,350,349
8,T1,A4,15,Kup,K15,T1-A4-K15,6/13/17,6/14/17,1,350,350
8,T1,A4,16,Kup,K16,T1-A4-K16,6/13/17,6/14/17,1,350,343
12,T2,A1,1,Kup,K01,T2-A1-K01,6/13/17,6/14/17,1,350,348
12,T2,A1,2,Kup,K02,T2-A1-K02,6/13/17,6/14/17,1,350,347
12,T2,A1,3,Kup,K03,T2-A1-K03,6/13/17,6/14/17,1,350,350
12,T2,A1,4,Kup,K04,T2-A1-K04,6/13/17,6/14/17,1,350,347
12,T2,A2,5,Kup,K05,T2-A2-K05,6/13/17,6/14/17,1,350,335
12,T2,A2,6,Kup,K06,T2-A2-K06,6/13/17,6/14/17,1,350,349
12,T2,A2,7,Kup,K07,T2-A2-K07,6/13/17,6/14/17,1,350,349
12,T2,A2,8,Kup,K08,T2-A2-K08,6/13/17,6/14/17,1,350,349
12,T2,A3,9,Kup,K09,T2-A3-K09,6/13/17,6/14/17,1,350,350
12,T2,A3,10,Kup,K10,T2-A3-K10,6/13/17,6/14/17,1,350,345
12,T2,A3,11,Kup,K11,T2-A3-K11,6/13/17,6/14/17,1,350,349
12,T2,A3,12,Kup,K12,T2-A3-K12,6/13/17,6/14/17,1,350,350
12,T2,A4,13,Kup,K13,T2-A4-K13,6/13/17,6/14/17,1,350,350
12,T2,A4,14,Kup,K14,T2-A4-K14,6/13/17,6/14/17,1,350,350
12,T2,A4,15,Kup,K15,T2-A4-K15,6/13/17,6/14/17,1,350,349
12,T2,A4,16,Kup,K16,T2-A4-K16,6/13/17,6/14/17,1,350,345
16,T3,A1,1,Kup,K01,T3-A1-K01,6/13/17,6/14/17,1,350,349
16,T3,A1,2,Kup,K02,T3-A1-K02,6/13/17,6/14/17,1,350,350
16,T3,A1,3,Kup,K03,T3-A1-K03,6/13/17,6/14/17,1,350,350
16,T3,A1,4,Kup,K04,T3-A1-K04,6/13/17,6/14/17,1,350,350
16,T3,A2,5,Kup,K05,T3-A2-K05,6/13/17,6/14/17,1,350,341
16,T3,A2,6,Kup,K06,T3-A2-K06,6/13/17,6/14/17,1,350,347
16,T3,A2,7,Kup,K07,T3-A2-K07,6/13/17,6/14/17,1,350,346
16,T3,A2,8,Kup,K08,T3-A2-K08,6/13/17,6/14/17,1,350,348
16,T3,A3,9,Kup,K09,T3-A3-K09,6/13/17,6/14/17,1,350,339
16,T3,A3,10,Kup,K10,T3-A3-K10,6/13/17,6/14/17,1,350,343
