"","location","days.post.fert","Treatment","family","adj_Length","minimum","maximum","n","v","se","na.rm"
"1","Kup",15,"T2","K1",9.694608,8.63688,10.86792,10,0.50186643584,0.224023756740217,1
"2","Kup",15,"T2","K2",11.2252327272727,9.95988,13.325,11,1.01908740250182,0.304375277114202,1
"3","Kup",15,"T2","K3",11.457516,10.17576,12.40176,10,0.38390542736,0.195935047237599,1
"4","Kup",15,"T2","K4",10.722684,9.6138,12.1338,10,0.90993853776,0.301651875140865,1
"5","Kup",15,"T2","K5",10.704624,9.08964,12.3942,10,1.00118684736,0.316415367414416,1
"6","Kup",15,"T2","K7",11.914728,11.25348,12.5916,10,0.18223339904,0.134993851356275,1
"7","Kup",15,"T2","K8",10.532004,8.69064,11.68608,10,1.27418133136,0.3569567664802,1
"8","Kup",20,"T1","K16",8.484,8.064,8.736,6,0.0620927999999999,0.101729051897676,1
"9","Kup",20,"T2","K1",14.8788,14.307,15.387,10,0.092601511111111,0.0962296789515122,1
"10","Kup",20,"T2","K10",14.5028,13.878,15.064,10,0.136282177777778,0.116739957931198,1
"11","Kup",20,"T2","K11",14.2465555555556,13.627,15.017,9,0.200521277777778,0.149265340837411,1
"12","Kup",20,"T2","K12",14.2368,13.842,14.548,10,0.0673201777777777,0.0820488743236479,1
"13","Kup",20,"T2","K13",14.2934,13.892,14.76,10,0.114684044444445,0.107090636586232,1
"14","Kup",20,"T2","K14",14.8226,14.155,15.374,10,0.188400044444445,0.137258895684194,1
"15","Kup",20,"T2","K15",15.2203,14.896,15.711,10,0.0654800111111111,0.0809197201620909,1
"16","Kup",20,"T2","K16",14.7141,14.151,15.528,10,0.150518322222222,0.122685908816874,1
"17","Kup",20,"T2","K2",14.233,13.896,14.66,10,0.0587426666666666,0.0766437646952879,1
"18","Kup",20,"T2","K3",13.8095454545455,12.264,15.484,22,1.04180702164502,0.217611729050224,1
"19","Kup",20,"T2","K4",14.1904,13.574,14.622,10,0.101208933333333,0.100602650727172,1
"20","Kup",20,"T2","K5",14.2444,13.283,15.039,10,0.276460488888889,0.166271010368281,1
"21","Kup",20,"T2","K7",14.7296,14.305,15.378,10,0.125320488888889,0.111946634111477,1
"22","Kup",20,"T2","K8",13.877,12.684,15.327,19,0.935131777777778,0.221850088997738,1
"23","Kup",20,"T2","K9",14.6445,13.948,15.333,10,0.162745611111111,0.127571788068958,1
"24","Kup",20,"T3","K1",13.164,12.18,14.448,7,0.846048,0.347655001402252,1
"25","Kup",20,"T3","K16",13.8375333333333,12.6,15.703,15,0.723538552380953,0.219626736742282,1
"26","Kup",20,"T3","K4",13.7644545454545,13.314,14.469,11,0.104360272727273,0.0974027593072247,1
"27","Kup",20,"T3","K5",14.6030769230769,12.432,15.876,13,0.673667076923077,0.227641262469479,1
"28","Kup",20,"T3","K7",14.0029,13.332,14.632,10,0.155850544444444,0.124840115525597,1
"29","Kup",20,"T3","K8",15.0243,13.918,16.328,10,0.700714677777778,0.264710158055519,1
"30","Kup",25,"T1","K1",11.7616,11.216,12.007,5,0.1058963,0.145530958905657,1
"31","Kup",25,"T1","K10",11.0973333333333,10.115,11.888,6,0.419835866666667,0.264523428914046,1
"32","Kup",25,"T1","K11",11.1754,10.554,12.101,5,0.4033213,0.284014541881221,1
"33","Kup",25,"T1","K12",10.4254,9.71,11.184,5,0.3824753,0.276577403270766,1
"34","Kup",25,"T1","K13",11.1126,9.401,12.195,5,1.0801203,0.464783885262818,1
"35","Kup",25,"T1","K14",12.0852,11.643,12.908,5,0.2475717,0.222518179032635,1
"36","Kup",25,"T1","K15",10.8274,10.383,11.376,5,0.1345153,0.164021522977931,1
"37","Kup",25,"T1","K16",11.3184,10.917,11.779,5,0.0989568,0.140681768541627,1
"38","Kup",25,"T1","K2",11.323,11.114,11.504,5,0.031462,0.0793246493846647,1
"39","Kup",25,"T1","K3",12.2324,10.971,13.31,5,0.8685153,0.416776990727655,1
"40","Kup",25,"T1","K4",11.7496,11.308,12.034,5,0.0755123000000001,0.122892066464846,1
"41","Kup",25,"T1","K5",12.1168,11.59,12.353,5,0.0938312,0.136989926636961,1
"42","Kup",25,"T1","K6",8.90022,8.05392,9.74652,2,1.43244738,0.8463,1
"43","Kup",25,"T1","K7",11.6982,11.34,12.121,5,0.1124357,0.149957127206412,1
"44","Kup",25,"T1","K8",12.0716666666667,12.006,12.176,3,0.00834633333333335,0.0527457212588009,1
"45","Kup",25,"T1","K9",10.869,10.5,11.562,5,0.1721385,0.185547029078883,1
"46","Kup",25,"T2","K1",15.870288,14.44212,16.67568,5,0.737575816320001,0.384077027774378,1
"47","Kup",25,"T2","K10",15.61056,15.36948,16.16748,6,0.0804889209600004,0.115822364679711,1
"48","Kup",25,"T2","K11",14.404152,13.20648,16.1196,5,1.18376409312,0.486572521443618,1
"49","Kup",25,"T2","K12",14.04648,13.3224,14.5572,5,0.266272272,0.230769266584613,1
